species name,West Chukotka (CW),Wrangler Island (WI),South Chukotka (CS),East Chukotka (CE),North Alaska - Yukon Territory (AN),Western Alaska (AW),Central Canada (CC),Hudson Bay - Labrador (HL),Ellesmere Land-Northern Greenland (EP),Western Greenland (GW),Eastern Greenland (GE),North Iceland (NI),Jan Mayen (JM),North Fennoscandia (FN),Svalbard (SF),Franz Joseph Land (FJL),Kanin-Pechora (KP),Polar Ural-Novaya Zemlya (UN),Yamal-Gydan (YG),Anabar-Olenyok (AO),Taimyr-Severnaya Zemlya (Tm),Kharaulakh (Kh),Yana-Kolyma (YK),
Berteroa incana (L.) DC.,,,,,,,,,,,,,,,,,●,,,,,,,Brassicaceae
Bistorta officinalis Raf.,,,,,,,,,,,,○,,,,,,,,,,,,Polygonaceae
Brassica juncea (L.) Czern.,,,,,,,,,,,,,,,,,○,,,,,,,Brassicaceae
Brassica napus subsp. rapifera Metzg. ex Sinskaya,,,,,,,,,,,,○,,,,,,,,,,,,Brassicaceae
Brassica oleracea L.,,,,,,,,,,,,○,,,,,,,,,,,,Brassicaceae
Brassica rapa L.,,,,,○,,×,,,,,,,,,,,,,,,,,Brassicaceae
Brassica rapa subsp. campestris (L.) A.R. Clapham,×,,,○,,○,,×,,○,○,○,,×,,,○,,,,●,○,,Brassicaceae
Bromus arvensis L.,,,,,,,,,,,,,,,,,●,,,,,,,Poaceae
Bromus hordeaceus L.,,,,,,○,,,,,,,,,,,○,,,,,,,Poaceae
Bromus inermis Leyss.,,,●,●,●,IR,×,,,○,,●,,●,,,●,●,,,×,,,Poaceae
Buglossoides arvensis (L.) I. M. Johnst. ,,,,,,,,,,,,,,,○,,○,,,,,,,Boraginaceae
Bunias orientalis L.,,,,,,,,,,,,,,,,,○,,,,,,,Brassicaceae
Calamagrostis epigejos (L.) Roth,,,,,,,,,,,,,,,,,●,,,,,,,Poaceae
Camelina microcarpa Andrz. ex DC. ,,,,,,,,,,,,○,,,,,○,,,,,,,Brassicaceae
Camelina sativa (L.) Crantz,,,,,,,,,,,,○,,,,,,,,,,,,Brassicaceae
Campanula glomerata L.,,,,,,,,,,,,●,,●,,,●,,,,×,×,,Campanulaceae
Campanula rotundifolia L.,,,,×,,×,,,,,,,,,,,,,,,,,,Campanulaceae
Cannabis sativa L.,,,,,,,,,,,,,,,,,○,,,,,,,Cannabaceae
Capsella bursa-pastoris (L.) Medik.,,,,,●,○,×,×,,,,,,,●,,●,●,,,●,,,Brassicaceae
Caragana arborescens Lam. ,,,,,,IR,×,,,,,,,,,,,,,,,,,Fabaceae
Carduus crispus L.,,,,,,,,,,○,,,,,,,●,●,,,,,,Asteraceae
Carum carvi L.,,,,,,,,×,,○,,,,×,○,,●,●,,,,,,Apiaceae
Cenolophium denudatum (Fisch. & Hornem.) Tutin,,,,,,,,,,,,,,,,,,×,,,,,,Apiaceae
Centaurea cyanus L.,,,,,,,,,,,,○,,,,,○,○,,,,,,Asteraceae
Centaurea jacea L.,,,,,,,,,,,,,,,,,●,○,,,,,,Asteraceae
Centaurea montana L.,,,,,,,,,,,,●,,×,,,,,,,,,,Asteraceae
Centaurea triumfettii All.,,,,,,,,,,,,○,,,,,,,,,,,,Asteraceae
Cerastium fontanum subsp. vulgare (Hartman) Greuter & Burdet,,,,,,●,,×,,●,,○,,,○,,●,●,,,×,,,Caryophyllaceae
Ceratocephala orthoceras DC.,,,,,,,,,,,,,,,,,○,,,,,,,Ranunculaceae
Chaerophyllum prescottii DC.,,,,,,,,,,,,,,,,,○,,●,,,,,Apiaceae
Chenopodium album L.,●,,●,●,●,IR,×,○,,●,,○,,×,○,,●,○,,,,○,●,Amaranthaceae
Chenopodium capitatum (L.) Ambrosi,,,,,,,×,×,,,,,,,,,,,,,,,,Amaranthaceae
Chenopodium prostratum Bunge ex Herder,●,,●,●,,,,,,,,,,,,,,,,,,,,Amaranthaceae
Chenopodium suecicum J. Murr,,,,,,,,,,,,,,,,,○,,,,,,,Amaranthaceae
Chorispora tenella (Pall.) DC.,,,,,,,,,,,,,,,,,○,,,,,,,Brassicaceae
Cirsium arvense (L.) Scop.,,,,,IR,,,,,●,,×,,×,,,,,,,,,,Asteraceae
Cirsium arvense subsp. setosum (Willd.) Iljin,,,,,,,,,,,,,,,,,●,●,,,,,,Asteraceae
Conringia orientalis (L.) Dumort.,,,,,,,,,,,,○,,,○,,○,,,,,,,Brassicaceae
Consolida regalis S. F. Gray,,,,,,,,,,,,,,,,,○,,,,,,,Ranunculaceae
Convolvulus arvensis L.,,,,,,,,,,,,○,,,,,○,,,,,,,Convolvulaceae
Crepis tectorum L.,,,,,IR,IR,×,,,○,,,,,,,,,,,,,,Asteraceae
Dactylis glomerata L.,,,,,,,,,,●,,●,,×,○,,●,,,,,,,Poaceae
Deschampsia cespitosa subsp. beringensis (Hultén) W.E.Lawr.,,,,,,,,,,,,●,,,,,,,,,,,,Poaceae
Deschampsia cespitosa subsp. cespitosa (L.) P. Beauv.,,,,,,×,,,,×,,,,,●,,,●,,,,,,Poaceae
Descurainia incana L. ,,,,,,,,×,,,,,,,,,,,,,,,,Brassicaceae
Descurainia sophia (L.) Webb,,,,,×,×,,,,○,,,,×,○,,●,●,,,,,,Brassicaceae
Draba nemorosa L.,●,,,,,,,,,,,,,,,,●,×,●,●,×,●,,Brassicaceae
Draba verna L.,,,,,,,,,,○,,,,×,,,,,,,,,,Brassicaceae
Dracocephalum parviflorum Nutt.,,,,,,,,×,,,,,,,,,,,,,,,,Lamiaceae
Echinochloa crus-galli (L.) P.Beauv.,,,,○,,,,,,,,,,,,,,,,,,,,Poaceae
Elymus repens (L.) Gould,,,●,,●,●,×,×,,●,,,,×,○,,●,●,,,,,,Poaceae
Epilobium ciliatum subsp. ciliatum  Rafin.,,,,,,,,,,,,●,,,,,,,,,,,,Onagraceae
Erodium cicutarium (L.) L'Hér.,,,,,,,,,,,,,,,○,,○,○,,,,,,Geraniaceae
Erysimum cheiranthoides L.,,,,,,,,,,,,,,,○,,,,●,,,,,Brassicaceae
"Erysimum strictum P. Gaertn., B. Mey. & Scherb.",,,,,,,,,,,,,,,○,,,,,,,,,Brassicaceae
Erythranthe guttata (DC.) G.L.Nesom,,,,,,,,,,,,○,,,,,,,,,,,,Phrymaceae
Euphrasia parviflora Schag.,,,,,,,,,,,,,,,,,●,,,,,,,Orobanchaceae
Fagopyrum esculentum Moench,,,,,,,,,,,,○,,,○,,○,,,,,,,Polygonaceae
Fagopyrum tataricum (L.) Gaertn.,,,,,,,,,,,,,,,,,○,,,,,,,Polygonaceae
Fallopia convolvulus (L.) A. Löve,,,,,,○,,,,,,○,,,○,,○,○,,,,○,,Polygonaceae
Festuca ovina L.,,,,,,,,,,,,○,,,,,,,,,,,,Poaceae
Festuca rubra subsp. megastachya Gaudin,,,,,,,,,,,,,,,○,,,,,,,,,Poaceae
Festuca rubra subsp. rubra L.,,,,,,,●,●,,,,,,,●,,,,,,,,,Poaceae
Fumaria officinalis L.,,,,,,,,,,,,,,,,,○,,,,,,,Papaveraceae
Galeopsis bifida Boenn.,,,,,,,,×,,,,,,,,,●,●,,,×,,,Lamiaceae
Galeopsis ladanum L.,,,,,,,,,,,,,,,,,○,○,,,,,,Lamiaceae
Galeopsis speciosa Mill.,,,,,,,,,,,,,,,,,●,,,,,,,Lamiaceae
Galeopsis tetrahit L.,,,,,,○,,,,,,●,,,○,,●,,,,,,,Lamiaceae
Galium aparine L.,,,,,,,○,,,○,,○,,,○,,○,,,,,,,Rubiaceae
Galium mollugo subsp. erectum Syme,,,,,,,,,,○,,○,,×,○,,●,,,,,,,Rubiaceae
Galium spurium subsp. vaillantii (DC.) Gaudin. ,,,,●,,,,,,,,,,×,,,,,,,×,,,Rubiaceae
Galium verum L.,●,,×,●,,,,,,,,,,×,,,,,,,,,,Rubiaceae
Glechoma hederacea L.,,,,,,,,,,,,,,×,,,○,●,●,,,,,Lamiaceae
Gnaphalium sylvaticum L.,,,,,,,,,,,,,,×,,,,,,,,,,Asteraceae
Gnaphalium uliginosum L.,,,,,,○,,,,●,,,,,,,,,,,,,,Asteraceae
Helianthus annuus L.,,,,,,,,,,,,,,,○,,,,,,,,,Asteraceae
Heracleum persicum Desf.,,,,,,,,,,,,○,,●,,,,,,,,,,Apiaceae
Heracleum sphondylium subsp. sibiricum (L.) Simonk.,,,,,,,,,,,,,,×,,,,,,,,,,Apiaceae
Hesperis matronalis L.,,,,,,,,,,,,○,,,,,,,,,,,,Brassicaceae
Hieracium vulgatum R.E. Fr.,,,,,,,,,,,,,,,○,,,,,,,,,Asteraceae
Hordeum brachyantherum Nevski,,,,,,×,,,,,,,,,,,,,,,,,,Poaceae
Hordeum brevisubulatum (Trin.) Link,,,,,,,,,,,,,,,,,,,,,,○,,Poaceae
Hordeum jubatum L.,●,○,●,●,IR,IR,,×,,●,,○,,,,,,,,,,,●,Poaceae
Hordeum vulgare L.,,,,,,×,,,,,,○,,,○,,,,,,,,,Poaceae
Hyoscyamus niger L.,,,,,,,,,,,,,,,,,●,,,,,,,Solanaceae
Iris pseudacorus L.,,,,,,,,,,,,○,,,,,,,,,,,,Iridaceae
Impatiens noli-tangere L.,,,,,,,,,,,,,,,,,,,,,×,,,Balsaminaceae
Jacobaea erucifolia Gaertn. Mey. & Scherb.,,,,,,,,,,,,,,,,,○,,,,,,,Asteraceae
Juncus bufonius L.,,,○,○,,×,×,×,,×,,,,×,,,●,,●,,●,,,Juncaceae
Juncus compressus Jacq.,,,,,,,,,,,,,,,,,○,,,,,,,Juncaceae
Juncus nodosus L.,,,,,,,,×,,,,,,,,,,,,,,,,Juncaceae
Lactuca tatarica (L.) C. A. Meyer,,,,,,,,,,,,,,,,,○,,,,,,,Asteraceae
Lamium album L.,,,,,,,,,,,,●,,,,,,,,,,,,Lamiaceae
Lamium purpureum L.,,,,,,,,,,●,,●,,,,,○,,,,,,,Lamiaceae
Lappula marginata (M. Bieb.) Gürke,,,,,,,,,,,,○,,,,,,,,,,,,Boraginaceae
Lappula occidentalis (S. Watson) Greene,,,,,●,,×,,,,,,,,,,,,,,,,,Boraginaceae
Lappula patula (Lehm.) Gürke,,,,,,,,,,,,,,,,,○,,,,,,,Boraginaceae
Lappula squarrosa (Retz.) Dumort.,,,,,,,×,,,,,,,×,○,,●,○,,,×,,×,Boraginaceae
Lapsana communis L.,,,,,,,,,,,,○,,,○,,,,,,,,,Asteraceae
Lathyrus pratensis L.,,,,,,,,,,●,,,,×,○,,,,○,,,,,Fabaceae
Leontodon hispidus L.,,,,,,,,,,,,,,,,,●,,,,,,,Asteraceae
Lepidium campestre (L.) W.T. Aiton,,,,,,,,,,,,○,,,,,,,,,,,,Brassicaceae
Lepidium densiflorum Schrad.,,,,,●,,,,,,,○,,,○,,,,,,,,,Brassicaceae
Lepidium heterophyllum Benth.,,,,,,,,,,,,○,,,,,,,,,,,,Brassicaceae
Lepidium perfoliatum L.,,,,,,,,,,,,,,,,,○,,,,,,,Brassicaceae
Lepidium ramosissimum A. Nelson,,,,,●,,,,,,,,,,,,,,,,,,,Brassicaceae
Lepidium ruderale L.,,,,,,,,,,,,,,,,,○,○,,,,,,Brassicaceae
Lepidium sativum L.,,,,,,,,,,,,○,,,,,,,,,,,,Brassicaceae
Lepidotheca suaveolens (Pursh) Nutt.,,,,●,●,●,×,×,,●,,●,,×,○,,●,●,,,,,,Asteraceae
Leptopyrum fumarioides (L.) Rchb. ,,,,,,,,,,,,,,,,,,,,,,○,,Ranunculaceae
Leucanthemum vulgare Lam.,,,,,IR,IR,,×,,○,,●,,×,,,●,,,,,,,Asteraceae
Linaria vulgaris Mill.,,,,,IR,,,×,,●,,,,×,,,●,,,,,,,Plantaginaceae
Lolium multiflorum Lam. ,,,,,,,,,,,,○,,,,,,,,,,,,Poaceae
Lolium perenne L.,,,,,,○,●,●,,○,,○,,×,,,,,,,,,,Poaceae
Lotus corniculatus L.,,,,,,,,,,,,,,,,,,,,,,,,Fabaceae
Lupinus nootkatensis Donn ex Sims,,,,,,,,,,●,,IT,,○,,,,,,,,,,Fabaceae
Lupinus polyphyllus Lindl.,,,,,,,,,,,,○,,,,,,,,,,,,Fabaceae
Luzula luzuloides (Lam.) Dandy & Wilmott,,,,,,,,,,,,,,×,,,,,,,,,,Juncaceae
Luzula multiflora subsp. multiflora (Ehrh.) Lej.,,,,,,,,,,●,,,,×,,,,,,,,,,Juncaceae
Luzula pallescens Sw.,,,,,,,,,,,,,,×,,,,,,,,,,Juncaceae
Lycopsis arvensis subsp. arvensis,,,,,,,,,,,,○,,,,,,,,,,,,Boraginaceae
Lysimachia arvensis U.Manns & Anderb.,,,,,,,,,,,,,,,,,○,,,,,,,Primulaceae
Malus pumila Mill. ,,,,,,,,,,,,,○,×,○,,,,,,,,,Rosaceae
Malva pusilla Sm.,,,,,,,,,,,,,,,,,○,,,,,,,Malvaceae
Matricaria recutita L.,,,,×,,,,,,○,,,,×,,,○,,,,,,,Asteraceae
Medicago lupulina L.,,,,,,,,,,,,,,,○,,○,○,,,,○,,Fabaceae
Medicago falcata L.,,,,,,,,,,,,,,,,,,,,,,○,,Fabaceae
Medicago polymorpha L.,,,,,,,,,,,,,,,○,,,,,,,,,Fabaceae
Medicago sativa subsp. varia (Martyn)Arcang.,,,,,,,×,,,,,,,,,,,,,,,,,Fabaceae
Melilotus albus Medik.,,,,,IT,,×,×,,○,,○,,,,,○,●,,,,,,Fabaceae
Melilotus officinalis (L.)Pall.,,,,,,,,,,,,○,,,○,,●,,,,,,,Fabaceae
Mentha arvensis L.,,,,,,,,,,,,,,,,,×,,,,,,,Lamiaceae
Myosotis arvensis (L.) Hill,,,,,,,,,,●,,,,×,○,,○,,,,×,,,Boraginaceae
Myosotis laxa subsp. caespitosa (C.F.Schultz) Nordh.,,,,,,,,,,,,,,×,,,●,,●,,●,,,Boraginaceae
Myosotis scorpioides L.,,,,,,○,,,,,,●,,,,,,,,,,,,Boraginaceae
Myrrhis odorata (L.) Scop.,,,,,,,,,,,,●,,,,,,,,,,,,Apiaceae
Neslia paniculata (L.) Desv.,,,,,,,,,,,,,,,,,○,○,,,,,,Brassicaceae
"Oxybasis glauca S.Fuentes, Uotila & Borsch",,,,,,,,,,,,,,,,,○,,,,,,,Amaranthaceae
"Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch",,,,,,,,,,,,,,,,,○,○,,,,,,Amaranthaceae
Papaver croceum Ledeb.,,,,,○,○,,○,,●,,●,,×,,,,,,,,,,Papaveraceae
Papaver somniferum L.,,,,,,,,,,,,○,,,,,○,,,,,,,Papaveraceae
Pedicularis adunca M. Bieb. ex Steven,,,×,,,,,,,,,,,,,,,,,,,,,Orobanchaceae
Persicaria lapathifolia (L.) S.F.Gray,,,,,,,,,,,,○,,,,,●,,,,,,,Polygonaceae
Phleum pratense subsp. pratense L.,,,,,,●,,○,,●,,●,,×,○,,●,●,,,,○,,Poaceae
Pilosella aurantiaca F. Schultz & Sch. Bip. ,,,,,,,,,,,,●,,×,,,,,,,,,,Asteraceae
Pilosella onegensis Norrl.,,,,,,,,,,,,,,×,,,,,,,,,,Asteraceae
Pimpinella saxifraga L. ,,,,,,,,,,,,,,×,,,,,,,,,,Apiaceae
Pisum sativum L.,,,,,,,,,,,,,,,○,,,,,,,,,Fabaceae
Plantago canescens subsp. canescens Adams ,,,,,,,,,,,,,,,,,,,,,,●,,Plantaginaceae
Plantago depressa Willd.,×,,,●,,,,,,,,,,,,,,,,,,●,,Plantaginaceae
Plantago lanceolata L.,,,,○,,,,,,○,,,,,,,●,○,,,×,,,Plantaginaceae
Plantago major L.,●,,,●,●,IR,×,×,,○,,,,×,○,,●,,○,,●,●,,Plantaginaceae
Plantago media L.,,,,○,,,,,,,,,,,○,,●,●,,,,,,Plantaginaceae
Plantago salsa Pall.,,,,○,,,,,,,,,,,,,,,,,,,,Plantaginaceae
Poa annua L.,,,,,,IR,,×,,,,,,,●,,●,●,,,●,,,Poaceae
Poa compressa L.,,,,●,,○,×,×,,,,,,×,,,,,,,,,,Poaceae
Poa nemoralis subsp. nemoralis L. ,,,,,,,,×,,,,,,,,,,,,,,,,Poaceae
Poa palustris L.,,,,,,,,,,○,,,,×,○,,,,,,,,,Poaceae
Poa pratensis subsp. angustifolia (L.) Gaudin,,,●,,,,,,,●,,,,,○,,●,,,,,,,Poaceae
Poa pratensis subsp. irrigata (Lindm.) H. Lindb.,,,,,,,,●,,,,,,,●,,,,,,,,,Poaceae
Poa pratensis subsp. pratensis L.,,,,,●,●,●,●,,●,●,○,,×,●,,,,,,,,,Poaceae
Poa supina Schrad.,,,,,,,,,,,,,,,,,●,●,,,●,,,Poaceae
Poa trivialis subsp. trivialis L.,,,,●,,,,,,●,,,,,○,,×,,,,,,,Poaceae
Polemonium caeruleum L.,,,,,,,,,,,,○,,,,,,,,,,,,Polemoniaceae
Polygonum aviculare L. ,,,●,,●,IR,×,○,,,○,,,×,○,,●,●,,,×,○,,Polygonaceae
Polygonum boreale (Lange) Small,,,,,,,,,,,●,,,,,,,,○,,,,,Polygonaceae
Polygonum convolvulus L.,●,,●,●,,,,,,●,,,,,,,,,,,,,,Polygonaceae
Potentilla argentea L.,,,,,,,,,,,,,,×,,,○,,,,,,,Rosaceae
Potentilla erecta (L.) Räuschel,,,,,,,,,,,,●,,,,,,,,,,,,Rosaceae
Potentilla intermedia L.,,,,,,,,,,,,,,×,,,,,,,,,,Rosaceae
Potentilla intermedia L.,,,,,,,,,,,,,,,,,○,,,,,,,Rosaceae
Potentilla norvegica L.,,,,●,,,,,,●,,,,×,,,●,,,,×,,,Rosaceae
Potentilla pensylvanica L.,,,,×,,,,,,,,,,,,,,,,,,,,Rosaceae
Potentilla supina L.,,,,,,,,,,,,,,,,,○,,,,,,,Rosaceae
Potentilla tergemina Soják,,,,●,,,,,,,,,,,,,,,,,,,,Rosaceae
Potentilla thuringiaca Bernh. ex Link,,,,,,,,,,,,,,×,,,,,,,,,,Rosaceae
Primula elatior (L.) L.,,,,,,,,,,,,,,●,,,,,,,,,,Primulaceae
Prunella vulgaris L.,,,,,,,,,,,,,,×,,,●,,,,,,,Lamiaceae
Prunus domestica L.,,,,,,,,,,,,,,,○,,,,,,,,,Rosaceae
Prunus padus L.,,,,,IR,,,,,,,,,,,,,,,,,,,Rosaceae
Puccinellia distans (Jacq.) Parl.,,,,,,,,,,,,,,,,,●,●,●,,,●,,Poaceae
Puccinellia hauptiana (Trin. ex V.I. Krecz.) Kitag.,●,,●,●,,,,,,,,,,,,,●,●,●,●,●,●,●,Poaceae
Ranunculus acris L. ,,,,,,○,,×,,,,,,,○,,●,●,,,●,,,Ranunculaceae
Ranunculus acris subsp. friesianus (Jordan) Syme,,,,,,,,,,,,,,,●,,,,,,,,,Ranunculaceae
Ranunculus auricomus agg.,,,,,,,,,,,,,,,○,,,,,,●,,,Ranunculaceae
Ranunculus polyanthemos L.,,,,,,,,,,,,,,,,,●,,,,,,,Ranunculaceae
Ranunculus repens L.,,,,,,●,,,,●,,,,,●,,,,,,,,,Ranunculaceae
Ranunculus sceleratus subsp. sceleratus L.,,,,,,,,,,,,,,,,,●,,●,,,,,Ranunculaceae
Ranunculus subborealis subsp. villosus (Drabble) Elven,,,,,,,,,,,,,,,●,,,,,,,,,Ranunculaceae
Raphanus raphanistrum L.,,,,○,,,,,,,,○,,,○,,○,○,,,,○,,Brassicaceae
Raphanus sativus L.,,,,,,,,,,,,○,,,,,,,,,,,,Brassicaceae
Reseda lutea L.,,,,,,,,,,,,,,,,,○,,,,,,,Resedaceae
Rheum rhabarbarum L.,,,,,,○,,,,,,○,,,,,,,,,,,,Polygonaceae
Rhinanthus alectorolophus (Scop.) Pollich,,,,,,,,,,,,,,,,,○,○,,,,,,Orobanchaceae
Rhinanthus angustifolius C. C. Gmelin,,,,,,,,,,,,○,,,,,,,,,,,,Orobanchaceae
Rhinanthus minor L.,,,,,,,,,,,,,,,,,●,,,,,,,Orobanchaceae
Ribes × pallidum Otto & F. Dietr.,,,,,,,,,,,,●,,,,,,,,,,,,Grossulariaceae
Ribes dikuscha Fisch. ex Turcz.,,,,×,,,,,,,,,,,,,,,,,,,,Grossulariaceae
Rorippa barbareifolia (DC.) Kitag.,●,,●,●,,,,,,,,,,,,,,,,,,,,Brassicaceae
Rorippa palustris subsp. palustris (L.) Besser,,,,,,,,,,●,,,,,○,,,,,,,,,Brassicaceae
Rorippa sylvestris subsp. sylvestris (L.) Besser,,,,,,,,,,,,○,,,○,,,,,,,,,Brassicaceae
Rubus idaeus subsp. idaeus L.,,,,,,,,,,●,,,,,,,,,,,,,,Rosaceae
Rumex acetosa L.,,,,,,,,,,,,,●,,●,,●,,,,×,,,Polygonaceae
