"Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"Equisetum fluviatile","Equisetum fluviatile",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,20,1,"wfo-0001108916","urn:lsid:ipni.org:names:30041462-2","26602005","Equisetum fluviatile","species","wfo-4000013663","L.","Equisetaceae","","",NA,"Equisetum","","fluviatile","","species","Valid","Sp. Pl. : 1062 (1753)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1062 1753  to Sp. Pl. : 1062 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602005 >The ","http://www.theplantlist.org/tpl1.1/record/tro-26602005","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602005","",FALSE,"","",""
"Equisetum palustre","Equisetum palustre",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,21,1,"wfo-0001108921","urn:lsid:ipni.org:names:30039890-2","26602010","Equisetum palustre","species","wfo-4000013663","L.","Equisetaceae","","",NA,"Equisetum","","palustre","","species","Valid","Sp. Pl. : 1061 (1753)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1061 1753  to Sp. Pl. : 1061 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602010 >The ","http://www.theplantlist.org/tpl1.1/record/tro-26602010","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602010","",FALSE,"","",""
"Equisetum pratense","Equisetum pratense",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,22,1,"wfo-0001108922","urn:lsid:ipni.org:names:60437142-2","26602011","Equisetum pratense","species","wfo-4000013663","Ehrh.","Equisetaceae","","",NA,"Equisetum","","pratense","","species","Valid","Hannover. Mag. 22: 138 (1784)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Hannover. Mag. 22: 138. 1784  to Hannover. Mag. 22: 138 (1784), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tr","http://www.theplantlist.org/tpl1.1/record/tro-26602011","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602011","",FALSE,"","",""
"Equisetum sylvaticum","Equisetum sylvaticum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,23,1,"wfo-0001108924","urn:lsid:ipni.org:names:303325-2","26602013","Equisetum sylvaticum","species","wfo-4000013663","L.","Equisetaceae","","",NA,"Equisetum","","sylvaticum","","species","Valid","Sp. Pl. : 1061 (1753)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1061 1753  to Sp. Pl. : 1061 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602013 >The ","http://www.theplantlist.org/tpl1.1/record/tro-26602013","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602013","",FALSE,"","",""
"Equisetum arvense arvense","Equisetum arvense arvense",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,24,1,"wfo-0001108914","urn:lsid:ipni.org:names:300073-2","26602003","Equisetum arvense","species","wfo-4000013663","L.","Equisetaceae","","",NA,"Equisetum","","arvense","","species","Valid","Sp. Pl. : 1061 (1753)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1061 1753  to Sp. Pl. : 1061 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602003 >The ","http://www.theplantlist.org/tpl1.1/record/tro-26602003","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602003","",TRUE,"Synonym","wfo-0001111326","Equisetum arvense f. arvense"
"Equisetum arvense alpestre","Equisetum arvense alpestre",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,25,1,"wfo-0001322088","urn:lsid:ipni.org:names:60476579-2","60476579-2","Equisetum arvense f. alpestre","form","","(Wahlenb.) Döll","Equisetaceae","","",NA,"Equisetum","","arvense","alpestre","form","","Fl. Baden 1(1): 59 (1855)","Unchecked","","",NA,"Source in seed data: ipni Update namepublishedIn from Fl. Baden [Doell] 1(1): 59. 1855 [Mar-Jun 1855]  to Fl. Baden 1(1): 59 (1855), information provided by Alan E. on email Jun. 07 2021","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60476579-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","","",FALSE,"","",""
"Equisetum hyemale hyemale","Equisetum hyemale hyemale",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,8,26,1,"wfo-0000748047","urn:lsid:ipni.org:names:92939-2","1024888","Equisetum hyemale","species","wfo-4000013663","L.","Equisetaceae","","",NA,"Equisetum","","hyemale","","species","Valid","Sp. Pl. : 1062 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 2: 1062 1753  to Sp. Pl. : 1062 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2902170 >The P","http://www.theplantlist.org/tpl1.1/record/kew-2902170","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","kew-2902170","",FALSE,"","",""
"Equisetum ×trachyodon","Equisetum x trachyodon",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,1,27,1,"wfo-0001108926","urn:lsid:ipni.org:names:30028923-2","26602016","Equisetum trachyodon","species","wfo-4000013663","(A.Braun) W.D.J.Koch","Equisetaceae","","",NA,"Equisetum","","trachyodon","","species","Valid","Syn. Fl. Germ. Helv. (ed. 2) 3: 967 1845","Accepted","","wfo-0001117150",NA,"Source in seed data: tro Leave these as they are the data looks good IPNI link is the issue., information provided by Alan E. on email Oct. 14 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602016 >The Plant L","http://www.theplantlist.org/tpl1.1/record/tro-26602016","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602016","",FALSE,"","",""
"Equisetum ×trachyodon","Equisetum x trachyodon",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,1,27,2,"wfo-0001117167","urn:lsid:ipni.org:names:93028-2","26611950","Equisetum × trachyodon","species","wfo-4000013663","A.Braun","Equisetaceae","","",NA,"Equisetum","","trachyodon","","species","Valid","Regensb. Fl. 1: 308 (1839)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Flora 22: 305 1839  to Regensb. Fl. 1: 308 (1839), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26611950 >T","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:93028-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26611950","×",FALSE,"","",""
"Equisetum variegatum variegatum","Equisetum variegatum variegatum",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,11,28,1,"wfo-0001108927","urn:lsid:ipni.org:names:93031-2","26602017","Equisetum variegatum","species","wfo-4000013663","Schleich. ex F.Weber & D.Mohr","Equisetaceae","","",NA,"Equisetum","","variegatum","","species","Valid","Bot. Taschenb. : 60, 447 (1807)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Bot. Taschenbuch 60, 447 1807  to Bot. Taschenb. : 60, 447 (1807), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record","http://www.theplantlist.org/tpl1.1/record/tro-26602017","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602017","",FALSE,"","",""
