"","Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"96","Betula pendula","Betula pendula ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,85,1,"wfo-0000335449","urn:lsid:ipni.org:names:295174-1","21582","Betula pendula","species","wfo-4000004547","Roth","Betulaceae","","",NA,"Betula","","pendula","","species","Valid","Tent. Fl. Germ. 1: 405 (1788)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Tent. Fl. Germ. 1: 405 1788  to Tent. Fl. Germ. 1: 405 (1788), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew","http://www.theplantlist.org/tpl1.1/record/kew-21582","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-21582","",FALSE,"","",""
"97","Astragalus americanus","Astragalus americanus ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,86,1,"wfo-0000169628","urn:lsid:ipni.org:names:24436-2","15924","Astragalus americanus","species","wfo-4000003460","(Hook.) M.E.Jones","Fabaceae","","",NA,"Astragalus","","americanus","","species","Valid","Contr. W. Bot.8: 8 (1898)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from  to Contr. W. Bot. 8: 8 (1898), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-15924 >The Plant List v.1.1.","https://www.legumedata.org/taxonomy/taxon/657400","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","ild-15924","",FALSE,"","",""
"98","Astragalus williamsii","Astragalus williamsii ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,87,1,"wfo-0000170183","urn:lsid:ipni.org:names:480548-1","16469","Astragalus williamsii","species","wfo-4000003460","Britton & Rydb.","Fabaceae","","",NA,"Astragalus","","williamsii","","species","Valid","Bull. New York Bot. Gard.2: 175 (1900)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from Bull. New York Bot. Gard. ii. 175.  to Bull. New York Bot. Gard. 2: 175 (1900), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.or","https://www.legumedata.org/taxonomy/taxon/663814","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","ild-16469","",FALSE,"","",""
"99","Astragalus williamsii","Astragalus williamsii ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,87,2,"wfo-0001053300","urn:lsid:ipni.org:names:25814-2","13017381","Astragalus williamsii","species","","Rydb.","Fabaceae","","",NA,"Astragalus","","williamsii","","species","","Bull. New York Bot. Gard. 2: 175. 1901","Unchecked","","",NA,"Source in seed data: tro Updated namePublishedIn from Bull. New York Bot. Gard. 2(6): 175 1901  to Bull. New York Bot. Gard. 2: 175. 1901 , according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=h","http://www.theplantlist.org/tpl1.1/record/tro-13017381","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-13017381","",FALSE,"","",""
"100","Astragalus agrestis","Astragalus agrestis ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,88,1,"wfo-0000191796","","38337","Astragalus hypoglottis  subsp. hypoglottis","subspecies","wfo-0000185757","L.","Fabaceae","","",NA,"Astragalus","","hypoglottis","hypoglottis","subspecies","Valid","Unknown","Accepted","","",NA,"Source in seed data: ildis Updated taxonomicstatus from Synonym to Accepted, information provided by Alan E. on email Apr. 05, 2022 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-38337 >The Plant List v.1.1.</a> Orig","https://www.legumedata.org/taxonomy/taxon/1242102","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","ild-38337","",TRUE,"Synonym","wfo-0000166633","Astragalus agrestis"
"101","Astragalus agrestis","Astragalus agrestis ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,88,2,"wfo-0000183549","urn:lsid:ipni.org:names:24402-2","29612","Astragalus agrestis","species","wfo-4000003460","Douglas ex G.Don","Fabaceae","","",NA,"Astragalus","","agrestis","","species","Valid","Gen. Hist.2: 258 (1832)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from  to Gen. Hist. 2: 258 (1832), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-29612 >The Plant List v.1.1.</","https://www.legumedata.org/taxonomy/taxon/657249","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","ild-29612","",FALSE,"","",""
"102","Astragalus agrestis","Astragalus agrestis ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,88,3,"wfo-0001062489","urn:lsid:ipni.org:names:477439-1","13076585","Astragalus filicaulis","species","wfo-4000003460","Fisch. & C.A.Mey. ex Ledeb.","Fabaceae","","",NA,"Astragalus","","filicaulis","","species","Valid","Fl. Ross.1: 637 (1843)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Fl. Ross. 1: 637 1842  to Fl. Ross. 1: 637 (1843), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-13076585 >T","https://www.legumedata.org/taxonomy/taxon/659337","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-13076585","",TRUE,"Synonym","wfo-0001443525","Astragalus agrestis"
"103","Oxytropis deflexa retrorsa","Oxytropis deflexa retrorsa",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,9,89,1,"wfo-0000213910","urn:lsid:ipni.org:names:511422-1","8975","Oxytropis deflexa","species","wfo-4000027605","(Pall.) DC.","Fabaceae","","",NA,"Oxytropis","","deflexa","","species","Valid","Astragalogia: 96 (1802)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from  to Astragalogia : 96 (1802), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-8975 >The Plant List v.1.1.</a","https://www.legumedata.org/taxonomy/taxon/397899","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","ild-8975","",FALSE,"","",""
"104","Oxytropis pumilio","Oxytropis pumilio ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,90,1,"wfo-0000208811","urn:lsid:ipni.org:names:511808-1","54863","Oxytropis pumilio","species","wfo-4000027605","(Pall.) Ledeb.","Fabaceae","","",NA,"Oxytropis","","pumilio","","species","Valid","Fl. Ross.1: 589 (1843)","Accepted","","",NA,"Source in seed data: ildis Update namepublishedIn from Fl. Ross. (Ledeb.) 1(3): 589. 1843 [Mar-Apr 1843]  to Fl. Ross. 1: 589 (1843), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org","https://www.legumedata.org/taxonomy/taxon/398596","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","ild-54863","",FALSE,"","",""
"105","Oxytropis tananensis","Oxytropis tananensis ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,91,1,"wfo-0000168311","urn:lsid:ipni.org:names:179571-2","14633","Oxytropis campestris  var. varians","variety","wfo-0000213908","(Britton & Rydb.) Barneby","Fabaceae","","",NA,"Oxytropis","","campestris","varians","variety","Valid","Proc. Calif. Acad. Sci., ser. 4, 27: 253 (1944)","Accepted","","",NA,"Source in seed data: ildis Updated scientificnameAuthorship from (Britton & Rydb.) Barneby to (Rydb.) Barneby, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-1463","https://www.legumedata.org/taxonomy/taxon/401742","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","ild-14633","",TRUE,"Synonym","wfo-0000388834","Oxytropis tananensis"
