"","Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"70","Deschampsia cespitosa subsp. beringensis","Deschampsia cespitosa subsp. beringensis (Hultén) W.E.Lawr.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,48,1,"wfo-0001096088","urn:lsid:ipni.org:names:77168749-1","25510913","Deschampsia cespitosa  subsp. cespitosa","subspecies","wfo-0000862467","","Poaceae","","",NA,"Deschampsia","","cespitosa","cespitosa","subspecies","Valid","","Accepted","","",NA,"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-25510913 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-25510913 >The Plant List v.1.0</a>","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168749-1","The Poaceae TEN","A","tro-25510913","",TRUE,"Synonym","wfo-0000862480","Deschampsia cespitosa subsp. beringensis"
"71","Deschampsia cespitosa subsp. cespitosa","Deschampsia cespitosa subsp. cespitosa (L.) P. Beauv.",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,49,1,"wfo-0001096088","urn:lsid:ipni.org:names:77168749-1","25510913","Deschampsia cespitosa  subsp. cespitosa","subspecies","wfo-0000862467","","Poaceae","","",NA,"Deschampsia","","cespitosa","cespitosa","subspecies","Valid","","Accepted","","",NA,"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-25510913 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-25510913 >The Plant List v.1.0</a>","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168749-1","The Poaceae TEN","A","tro-25510913","",FALSE,"","",""
"72","Descurainia sophia","Descurainia sophia (L.) Webb",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,50,1,"wfo-0000641996","urn:lsid:ipni.org:names:282077-1","891459","Descurainia sophia","species","wfo-4000011184","(L.) Webb ex Prantl","Brassicaceae","","",NA,"Descurainia","","sophia","","species","Valid","Nat. Pflanzenfam. [Engler & Prantl] iii. 2. 192. 1891 [Mar 1891]","Accepted","","wfo-0000431922",NA,"Source in seed data: cmp Updated namepublishedIn from Nat. Pflanzenfam. 3(2): 192 1892  to Nat. Pflanzenfam. [Engler & Prantl] iii. 2. 192. 1891 [Mar 1891] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=htt","http://www.theplantlist.org/tpl1.1/record/kew-2761851","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2761851","",FALSE,"","",""
"73","Draba nemorosa L.","Draba nemorosa L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,51,1,"wfo-0000655778","urn:lsid:ipni.org:names:83715-2","905095","Draba nemorosa","species","wfo-4000012494","L.","Brassicaceae","","",NA,"Draba","","nemorosa","","species","Valid","Sp. Pl. : 643 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 643 1753  to Sp. Pl. : 643 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2777030 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2777030","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2777030","",TRUE,"Synonym","wfo-0000655782","Draba nemorosa f. foliosa"
"74","Draba nemorosa L.","Draba nemorosa L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,51,2,"wfo-0000655778","urn:lsid:ipni.org:names:83715-2","905095","Draba nemorosa","species","wfo-4000012494","L.","Brassicaceae","","",NA,"Draba","","nemorosa","","species","Valid","Sp. Pl. : 643 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 643 1753  to Sp. Pl. : 643 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2777030 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2777030","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2777030","",TRUE,"Synonym","wfo-0000738409","Draba nemorosa f. acaulis"
"75","Elymus repens","Elymus repens (L.) Gould",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,52,1,"wfo-0000866643","urn:lsid:ipni.org:names:90320-2","411505","Elymus repens","species","wfo-4000013270","(L.) Gould","Poaceae","","",NA,"Elymus","","repens","","species","Valid","Madroño 9: 127 (1947)","Accepted","","wfo-0000906270",NA,"Source in seed data: wcs Update namepublishedIn from Madroño 9: 127 1947  to Madroño 9: 127 (1947), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-411505 >The P","http://www.theplantlist.org/tpl1.1/record/kew-411505","The Poaceae TEN","A","kew-411505","",FALSE,"","",""
"76","Epilobium ciliatum subsp. ciliatum Rafin.","Epilobium ciliatum subsp. ciliatum  Rafin.",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,23,53,1,"wfo-0000668926","urn:lsid:ipni.org:names:611725-1","918093","Epilobium ciliatum","species","wfo-4000013609","Raf.","Onagraceae","","",NA,"Epilobium","","ciliatum","","species","Valid","Med. Repos. 2(5): 361 (1808)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Med. Repos. 2(5): 361 1808  to Med. Repos. 2(5): 361 (1808), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2","http://www.theplantlist.org/tpl1.1/record/kew-2790276","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2790276","",FALSE,"","",""
"77","Erysimum cheiranthoides L.","Erysimum cheiranthoides L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,54,1,"wfo-0000678580","urn:lsid:ipni.org:names:307231-2","927709","Erysimum cheiranthoides","species","wfo-4000013961","L.","Brassicaceae","","",NA,"Erysimum","","cheiranthoides","","species","Valid","Sp. Pl. : 661 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 661 1753  to Sp. Pl. : 661 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2799902 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2799902","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2799902","",FALSE,"","",""
"78","Euphrasia parviflora Schag.","Euphrasia parviflora Schag.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,55,1,"wfo-0000682560","urn:lsid:ipni.org:names:802747-1","931961","Euphrasia parviflora","species","","Fr.","Orobanchaceae","","",NA,"Euphrasia","","parviflora","","species","","Summa Veg. Scand. 195.","Unchecked","","",NA,"Source in seed data: cmp Updated namepublishedIn from Summa Veg. Scand. 195 1845  to Summa Veg. Scand. 195. , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-28043","http://www.theplantlist.org/tpl1.1/record/kew-2804306","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2804306","",FALSE,"","",""
"79","Euphrasia parviflora Schag.","Euphrasia parviflora Schag.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,55,2,"wfo-0001138652","","29205172","Euphrasia parviflora","species","wfo-4000014233","Schag.","Orobanchaceae","","",NA,"Euphrasia","","parviflora","","species","Valid","","Accepted","","",NA,"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-29205172 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-29205172 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/tro-29205172","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-29205172","",FALSE,"","",""
