"","X","Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"22",22,"Potamogeton pusillus","Potamogeton pusillus ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,21,1,"wfo-0000769966","urn:lsid:ipni.org:names:208919-2","308698","Potamogeton pusillus","species","wfo-4000031022","L.","Potamogetonaceae","","",NA,"Potamogeton",NA,"pusillus","","species","Valid","Sp. Pl. : 127 (1753)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 127 1753  to Sp. Pl. : 127 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-308698 >The Plant L","http://www.theplantlist.org/tpl1.1/record/kew-308698","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-308698",NA,FALSE,"","","",""
"23",23,"Veratrum viride eschscholtzii","Veratrum viride eschscholtzii",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,14,22,1,"wfo-0000751734","urn:lsid:ipni.org:names:543543-1","291258","Veratrum viride","species","wfo-4000040131","Aiton","Melanthiaceae","","",NA,"Veratrum",NA,"viride","","species","Valid","Hort. Kew. 3: 422 (1789)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Hort. Kew. [W. Aiton] 3: 422. 1789  to Hort. Kew. 3: 422 (1789), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/k","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:543543-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-291258",NA,FALSE,"","","","smallest ID"
"25",25,"Paris quadrifolia","Paris quadrifolia ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,23,1,"wfo-0000715208","urn:lsid:ipni.org:names:539724-1","283886","Paris quadrifolia","species","wfo-4000028211","L.","Melanthiaceae","","",NA,"Paris",NA,"quadrifolia","","species","Valid","Sp. Pl. : 367 (1753)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 367 1753  to Sp. Pl. : 367 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-283886 >The Plant L","http://www.theplantlist.org/tpl1.1/record/kew-283886","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-283886",NA,FALSE,"","","",""
"26",26,"Fritillaria camschatcensis","Fritillaria camschatcensis ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,24,1,"wfo-0000767712","urn:lsid:ipni.org:names:535082-1","306541","Fritillaria camschatcensis","species","wfo-4000015067","Ker Gawl.","Liliaceae","","",NA,"Fritillaria",NA,"camschatcensis","","species","Valid","Bot. Mag. 30: t. 1216 (1809)","Accepted",NA,"wfo-0000684834",NA,"Source in seed data: wcs Updated scientificnameAuthorship from (L.) Ker Gawl. to Ker Gawl., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-306541 >The Plant List ","http://www.theplantlist.org/tpl1.1/record/kew-306541","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-306541",NA,FALSE,"","","",""
"27",27,"Goodyera repens","Goodyera repens ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,25,1,"wfo-0000974755","urn:lsid:ipni.org:names:1088707-2","91902","Goodyera repens","species","wfo-4000016055","(L.) R.Br. in W.T.Aiton","Orchidaceae","","",NA,"Goodyera",NA,"repens","","species","Valid","Hortus Kew. 5: 198 (1813)","Accepted",NA,"wfo-0000304871",NA,"Source in seed data: wcs Updated scientificnameAuthorship from (L.) R.Br. to (L.) R.Br. in W.T.Aiton, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-91902 >The Pl","http://www.theplantlist.org/tpl1.1/record/kew-91902","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-91902",NA,FALSE,"","","",""
"28",28,"Allium strictum","Allium strictum ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,26,1,"wfo-0000757456","urn:lsid:ipni.org:names:528932-1","296690","Allium strictum","species","wfo-4000001260","Schrad.","Amaryllidaceae","","",NA,"Allium",NA,"strictum","","species","Valid","Hort. Gott. : 7 (1809)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Hort. Goett. I. 1.  to Hort. Gott. : 7 (1809), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-296690 >The Pla","http://www.theplantlist.org/tpl1.1/record/kew-296690","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-296690",NA,FALSE,"","","",""
"30",30,"Juncus minutulus","Juncus minutulus ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,27,2,"wfo-0000776914","urn:lsid:ipni.org:names:77084798-1","315477","Juncus minutulus","species","wfo-4000019671","(Albert & Jahand.) Prain","Juncaceae","","",NA,"Juncus",NA,"minutulus","","species","Valid","Index Kew. , Suppl. 5: 143 (1921)","Accepted",NA,"wfo-0000776065",NA,"Source in seed data: iopi Update namepublishedIn from Index Kew. Suppl. 5: 143. 1921  to Index Kew. , Suppl. 5: 143 (1921), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/kew-315477","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-315477",NA,FALSE,"","","","Not a synonym"
"31",31,"Juncus tenuis","Juncus tenuis ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,28,1,"wfo-0000777403","urn:lsid:ipni.org:names:304453-2","315959","Juncus tenuis","species","wfo-4000019671","Willd.","Juncaceae","","",NA,"Juncus",NA,"tenuis","","species","Valid","Sp. Pl., ed. 4 , 2: 214 (1799)","Accepted",NA,"",NA,"Source in seed data: iopi Update namepublishedIn from Sp. Pl. 2: 214 1799  to Sp. Pl., ed. 4 , 2: 214 (1799), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-31595","http://www.theplantlist.org/tpl1.1/record/kew-315959","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-315959",NA,FALSE,"","","",""
"32",32,"Luzula piperi","Luzula piperi ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,29,1,"wfo-0000778070","urn:lsid:ipni.org:names:146258-2","316634","Luzula piperi","species","wfo-4000022464","M.E.Jones","Juncaceae","","",NA,"Luzula",NA,"piperi","","species","Valid","Bull. Montana State Univ., Biol. Ser. 15: 22 (1910)","Accepted",NA,"wfo-0000775671",NA,"Source in seed data: iopi Updated scientificnameAuthorship from (Coville) M.E.Jones to M.E.Jones, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-316634 >The Plant","http://www.theplantlist.org/tpl1.1/record/kew-316634","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-316634",NA,FALSE,"","","",""
"33",33,"Schoenoplectus validus","Schoenoplectus validus ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,30,1,"wfo-0000528404","urn:lsid:ipni.org:names:1019164-1","263102","Schoenoplectus tabernaemontani","species","wfo-4000034542","(C.C.Gmel.) Palla","Cyperaceae","","",NA,"Schoenoplectus",NA,"tabernaemontani","","species","Valid","Bot. Jahrb. Syst. 10: 299 (1888)","Accepted",NA,"wfo-0000546312",NA,"Source in seed data: wcs Update namepublishedIn from Bot. Jahrb. Syst. 10: 299 1888  to Bot. Jahrb. Syst. 10: 299 (1888), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/reco","http://www.theplantlist.org/tpl1.1/record/kew-263102","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-263102",NA,TRUE,"Synonym","wfo-0000528572","Schoenoplectus validus",""
