"","scientificName"
"376","Carex parallela  subsp. redowskiana"
"377","Hedysarum truncatum"
"378","Saxifraga chrysantha"
"379","Ranunculus flammula  var. ovalis"
"380","Ranunculus flammula"
"381","Sagina decumbens  subsp. occidentalis"
"382","Picris hieracioides  subsp. kamtschatica"
"383","Pilosella aurantiaca  subsp. decolorans"
"384","Leontopodium villosulum"
"385","Epilobium luteum"
"386","Polystichum lachenense"
"387","Poa urssulensis"
"388","Poa platyantha"
"389","Poa filiculmis"
"390","Hylotelephium cyaneum"
"391","Phyllodoce glanduliflora"
"392","Taraxacum jurtzevii"
"393","Lycopodium sabinaefolium"
"394","Thymus pulegioides  subsp. montanus"
"395","Urtica dioica  subsp. gracilis"
"396","Lomatogonium carinthiacum  var. cordifolium"
"397","Arnica intermedia"
"398","Saxifraga ursina"
"399","Lychnis ajanensis"
"400","Sieversia pusilla"
"401","Melica subulata"
"402","Agrostis hyemalis"
"403","Carex chlorostachys"
"404","Carex rigidioides"
"405","Platanthera unalascensis"
"406","Cypripedium x alaskanum"
"407","Oreomecon alpina"
"408","Solanum tuberosum"
"409","Melilotus suaveolens"
"410","Rubus idaeus  subsp. strigosus"
"411","Ranunculus aquatilis var. lobbii"
"412","Draba praealta"
"413","Leontopodium ochroleucum"
"414","Symphyotrichum subspicatum"
"415","Saxifraga multiflora"
"416","Poa raduliformis"
"417","Poa almasovii"
"418","Deschampsia flexuosa"
"419","Tephroseris x arctisibirica"
"420","Potamogeton richardsonii"
"421","Oxytropis campestris"
"422","Potentilla evestita"
"423","Potentilla petrovskyi"
"424","Anthriscus nemorosa"
"425","Arabis eschscholtziana"
"426","Taraxacum stepanovae"
"427","Taraxacum leucocarpum"
"428","Taraxacum czukoticum"
"429","Saussurea pseudoangustifolia"
"430","Stellaria kolymensis"
"431","Gastrolychnis brachypetala"
"432","Axyris hybrida"
"433","Dracocephalum nutans"
"434","Chrysosplenium rimosum  subsp. dezhnevii"
"435","Juncus leucochlamus"
"436","Arabis stelleri"
"437","Dactylorhiza incarnata  subsp. incarnata"
"438","Pilosella piloselloides  subsp. praealta"
"439","Medicago sativa  subsp. sativa"
"440","Carex macroprophylla"
"441","Ophioglossum pusillum"
"442","Gymnocarpium x intermedium"
"443","Tsuga heterophylla"
"444","Juncus decipiens"
"445","Sparganium probatovae"
"446","Bromus tectorum"
"447","Arrhenatherum elatius"
"448","Festuca occidentalis"
"449","Holcus lanatus"
"450","Lolium arundinaceum"
"451","Festuca pratensis"
"452","Carex lenticularis  var. dolia"
"453","Carex oxyandra"
"454","Elleanthus graminifolius"
"455","Goodyera oblongifolia"
"456","Allium victorialis"
"457","Zostera marina"
"458","Alnus hirsuta"
"459","Sambucus racemosa f. nuda"
"460","Rumex obtusifolius  subsp. transiens"
"461","Vitex negundo"
"462","Nephrophyllidium crista-galli"
"463","Solanum sisymbriifolium"
"464","Medicago platycarpos"
"465","Rubus idaeus  f. succineus"
"466","Potentilla bifurca var. major"
"467","Malus sylvestris"
"468","Chamaerhodos erecta"
"469","Heuchera parvifolia"
"470","Ranunculus muricatus var. carolinus"
"471","Ranunculus sceleratus var. typicus"
"472","Lomatium sandbergii"
"473","Conium maculatum"
"474","Cardamine scutata"
"475","Parrya asperrima"
"476","Atriplex gmelinii  var. alaskensis"
"477","Nabalus alatus"
"478","Agoseris aurantiaca var. aurantiaca"
"479","Achillea asiatica"
"480","Artemisia stelleriana"
"481","Lactuca serriola"
"482","Leontopodium stellatum"
"483","Leontopodium kamtschaticum"
"484","Erigeron caespitans"
"485","Erigeron pumilus"
"486","Erigeron uniflorus  subsp. uniflorus"
"487","Kleinhovia hospita"
"488","Gentianopsis detonsa  subsp. yukonensis"
"489","Rhinanthus serotinus"
"490","Limosella australis"
"491","Utricularia australis"
"492","Epilobium x treleasianum"
"493","Epilobium clavatum"
"494","Papaver stubendorfii"
"495","Pleurospermum uralense"
"496","Botrychium yaaxudakeit"
"497","Pedicularis kolymensis"
"498","Saxifraga x cochleariifolia"
"499","Saxifraga jurtzevii"
"500","Minuartia rubra"
"501","Erodium stephanianum"
"502","Ajuga pygmaea"
"503","Anemone ochotensis"
"504","Glyceria spiculosa"
"505","Trisetokoeleria jurtzevii"
"506","Poa beringiana"
"507","Poa pattersonii"
"508","Hierochloe spicata"
"509","Potamogeton obtusifolius"
"510","Viola glabella"
"511","Wendlandia formosana"
"512","Trifolium cyathiferum"
"513","Potentilla anjuica"
"514","Potentilla nivalis"
"515","Potentilla tschaunensis"
"516","Potentilla chrysantha"
"517","Potentilla x safronoviae"
"518","Potentilla beringensis"
"519","Potentilla tolmatchevii"
"520","Geum x macranthum"
"521","Mitella nuda f. prostrata"
"522","Salix petiolaris"
"523","Salix commutata"
"524","Montia chamissoi"
"525","Antennaria rosea  subsp. pulvinata"
"526","Solidago cuprea"
"527","Cichorium intybus"
"528","Taraxacum korjakense"
"529","Taraxacum lenense"
"530","Taraxacum varioviolaceum"
"531","Taraxacum senjavinensis"
"532","Sonneratia alba"
"533","Campanula alaskana"
"534","Campanula punctata  var. punctata"
"535","Eugenia brongniartiana"
"536","Rhopalocarpus lucidus"
"537","Bergenia purpurascens"
"538","Gastrolychnis saxatilis"
"539","Thymus ochotensis"
"540","Oxytropis rarytkinensis"
