"","Species_SubSpecies"
"355","Carex mackenziei "
"356","Carex canescens  canescens"
"357","Carex lapponica "
"358","Carex bonanzensis "
"359","Carex arcta "
"360","Carex kreczetoviczii "
"361","Carex brunnescens brunnescens"
"362","Carex brunnescens vitilis"
"363","Carex brunnescens alaskana"
"364","Carex trisperma "
"365","Carex loliacea "
"366","Carex tenuiflora "
"367","Carex heleonastes "
"368","Carex marina marina"
"369","Carex marina pseudolagopina"
"370","Carex glareosa  glareosa"
"371","Carex lachenalii "
"372","Carex ursina "
"373","Carex dioica "
"374","Carex gynocrates "
"375","Carex parallela parallela"
"376","Carex parallela redowskiana"
"377","Carex microglochin "
"378","Carex pauciflora "
"379","Carex obtusata "
"380","Carex rupestris "
"381","Carex micropoda "
"382","Carex leptalea  leptalea"
"383","Carex filifolia "
"384","Carex anthoxanthea "
"385","Carex scirpoidea scirpoidea"
"386","Carex scirpoidea stenochlaena"
"387","Carex pulicaris "
"388","Carex capitata "
"389","Carex arctogena "
"390","Carex nardina nardina"
"391","Carex nardina hepburnii"
"392","Elymus mutabilis "
"393","Elymus trachycaulus trachycaulus"
"394","Elymus trachycaulus novae–angli"
"395","Elymus trachycaulus subsecundus"
"396","Elymus trachycaulus virescens"
"397","Elymus violaceus "
"398","Elymus alaskanus alaskanus"
"399","Elymus alaskanus borealis"
"400","Elymus alaskanus hyperarcticus"
"401","Elymus macrourus "
"402","Elymus jacutensis "
"403","Elymus fibrosus fibrosus"
"404","Elymus fibrosus subfibrosus"
"405","Elymus caninus "
"406","Elymus confusus "
"407","Pseudoroegneria spicata  spicata"
"408","Pseudoroegneria strigosa jacutorum"
"409","Elytrigia repens  repens"
"410","Hystrix sibirica "
"411","Leymus mollis mollis"
"412","Leymus mollis villosissimus"
"413","Leymus interior "
"414","Leymus arenarius "
"415","Leymus innovatus innovatus"
"416","Leymus innovatus velutinus"
"417","Hordeum jubatum "
"418","Hordeum brachyantherum "
"419","Hordeum brevisubulatum "
"420","Bromopsis pumpelliana "
"421","Bromopsis inermis "
"422","Bromopsis ciliata "
"423","Anthoxanthum nipponicum "
"424","Anthoxanthum odoratum "
"425","Hierochloe alpina "
"426","Hierochloe orthantha "
"427","Hierochloe odorata odorata"
"428","Hierochloe odorata arctica"
"429","Hierochloe odorata kolymensis"
"430","Hierochloe glabra sibirica"
"431","Hierochloe pauciflora "
"432","Avenula dahurica "
"433","Helictotrichon krylovii "
"434","Trisetum sibiricum sibiricum"
"435","Trisetum sibiricum litorale"
"436","Trisetum subalpestre "
"437","Trisetum spicatum spicatum"
"438","Trisetum spicatum molle"
"439","Koeleria pyramidata seminuda"
"440","Koeleria glauca pohleana"
"441","Koeleria asiatica "
"442","Deschampsia cespitosa "
"443","Deschampsia alpina "
"444","Deschampsia brevifolia "
"445","Deschampsia anadyrensis "
"446","Deschampsia sukatschewii sukatschewii"
"447","Deschampsia sukatschewii orientalis"
"448","Deschampsia sukatschewii borealis"
"449","Deschampsia obensis "
"450","Deschampsia beringensis "
"451","Avenella flexuosa "
"452","Vahlodea atropurpurea "
"453","Vahlodea latifolia paramushirensis"
"454","Milium effusum "
"455","Calamagrostis sesquiflora "
"456","Calamagrostis purpurascens purpurascens"
"457","Calamagrostis purpurascens laricina"
"458","Calamagrostis purpurascens arctica"
"459","Calamagrostis lapponica lapponica"
"460","Calamagrostis lapponica sibirica"
"461","Calamagrostis neglecta neglecta"
"462","Calamagrostis neglecta groenlandica"
"463","Calamagrostis holmii "
"464","Calamagrostis inexpansa "
"465","Calamagrostis deschampsioides "
"466","Calamagrostis phragmitoides "
"467","Calamagrostis purpurea "
"468","Calamagrostis tenuis "
"469","Calamagrostis canadensis canadensis"
"470","Calamagrostis canadensis langsdorfii"
"471","Calamagrostis epigeios "
"472","Agrostis stolonifera "
"473","Agrostis gigantea "
"474","Agrostis capillaris "
"475","Agrostis exarata "
"476","Agrostis canina "
"477","Agrostis vinealis "
"478","Agrostis kudoi "
"479","Agrostis mertensii "
"480","Agrostis anadyrensis "
"481","Agrostis clavata "
"482","Agrostis scabra "
"483","Festuca altaica "
"484","Festuca rubra rubra"
"485","Festuca rubra richardsonii"
"486","Festuca baffinensis "
"487","Festuca brevissima "
"488","Festuca hyperborea "
"489","Festuca edlundiae "
"490","Festuca brachyphylla "
"491","Festuca groenlandica "
"492","Festuca vivipara "
"493","Festuca frederikseniae "
"494","Festuca viviparoidea "
"495","Festuca lenensis "
"496","Festuca auriculata "
"497","Festuca saximontana "
"498","Festuca kolymensis "
"499","Festuca ovina  ovina"
"500","Schedonorus pratensis "
"501","Lolium perenne "
"502","Arctopoa eminens "
"503","Arctopoa trautvetteri "
"504","Arctopoa subfastigiata "
"505","Poa alpina var. alpina "
"506","Poa alpina var. vivipara "
"507","Poa x jemtlandica "
"508","Poa arctica arctica"
"509","Poa arctica caespitans"
"510","Poa arctica lanata"
"511","Poa macrocalyx "
"512","Poa pratensis pratensis"
"513","Poa pratensis angustifolia"
"514","Poa pratensis irrigata"
"515","Poa pratensis alpigena"
"516","Poa pratensis colpodea"
"517","Poa sublanata "
"518","Poa porsildii "
"519","Poa sibirica "
