"","Species_SubSpecies"
"1763","Eritrichium sericeum arctisibiricum"
"1764","Eritrichium splendens "
"1765","Cryptantha sp. "
"1766","Amsinckia lycopsoides "
"1767","Symphytum asperum "
"1768","Mertensia maritima maritima"
"1769","Mertensia maritima tenella"
"1770","Mertensia drummondii "
"1771","Mertensia paniculata (var. paniculata) "
"1772","Mertensia eastwoodae "
"1773","Mertensia pubescens "
"1774","Myosotis scorpioides "
"1775","Myosotis laxa cespitosa"
"1776","Myosotis decumbens  decumbens"
"1777","Myosotis pseudovariabilis "
"1778","Myosotis arvensis "
"1779","Myosotis alpestris asiatica"
"1780","Asperugo procumbens "
"1781","Lappula occidentalis "
"1782","Lappula myosotis "
"1783","Campanula turczaninovii "
"1784","Campanula lasiocarpa  lasiocarpa"
"1785","Campanula rotundifolia "
"1786","Campanula rotundifolia langsdorffiana"
"1787","Campanula uniflora "
"1788","Campanula glomerata "
"1789","Menyanthes trifoliata "
"1790","Solidago virgaurea virgaurea"
"1791","Solidago virgaurea lapponica"
"1792","Solidago dahurica "
"1793","Solidago multiradiata multiradiata"
"1794","Solidago multiradiata arctica"
"1795","Solidago simplex "
"1796","Solidago macrophylla "
"1797","Solidago uliginosa "
"1798","Aster alpinus vierhapperi"
"1799","Eurybia sibirica "
"1800","Symphyotrichum pygmaeum "
"1801","Symphyotrichum yukonense "
"1802","Symphyotrichum boreale "
"1803","Symphyotrichum puniceum "
"1804","Symphyotrichum ciliolatum "
"1805","Tripolium pannonicum tripolium"
"1806","Erigeron compositus "
"1807","Erigeron purpuratus "
"1808","Erigeron denalii "
"1809","Erigeron silenifolius "
"1810","Erigeron hyperboreus "
"1811","Erigeron koraginensis "
"1812","Erigeron porsildii "
"1813","Erigeron muirii "
"1814","Erigeron yukonensis "
"1815","Erigeron humilis "
"1816","Erigeron uniflorus "
"1817","Erigeron eriocephalus "
"1818","Erigeron eriocalyx "
"1819","Erigeron alpiniformis "
"1820","Erigeron borealis "
"1821","Erigeron acris acris"
"1822","Erigeron acris politus"
"1823","Erigeron acris kamtschaticus"
"1824","Erigeron lonchophyllus "
"1825","Erigeron elatus "
"1826","Erigeron glabellus pubescens"
"1827","Erigeron ochroleucus "
"1828","Erigeron hyssopifolius "
"1829","Antennaria villifera "
"1830","Antennaria pulcherrima "
"1831","Antennaria neglecta "
"1832","Antennaria dioica "
"1833","Antennaria microphylla "
"1834","Antennaria rosea rosea"
"1835","Antennaria rosea pulvinata"
"1836","Antennaria media compacta"
"1837","Antennaria media fusca"
"1838","Antennaria alpina alpina"
"1839","Antennaria alpina canescens"
"1840","Antennaria alpina porsildii"
"1841","Antennaria friesiana friesiana"
"1842","Antennaria friesiana alaskana"
"1843","Antennaria friesiana neoalaskana"
"1844","Antennaria monocephala monocephala"
"1845","Antennaria monocephala angustata"
"1846","Gnaphalium uliginosum "
"1847","Omalotheca sylvatica "
"1848","Omalotheca norvegica "
"1849","Omalotheca supina "
"1850","Leontopodium kurilense "
"1851","Arnica angustifolia angustifolia"
"1852","Arnica angustifolia tomentosa"
"1853","Arnica lonchophylla  lonchophylla"
"1854","Arnica griscomii frigida"
"1855","Arnica unalaschkensis "
"1856","Arnica lessingii "
"1857","Bidens hyperborea "
"1858","Achillea millefolium millefolium"
"1859","Achillea millefolium borealis"
"1860","Achillea millefolium lanulosa"
"1861","Achillea ptarmica "
"1862","Achillea salicifolia "
"1863","Achillea alpina camtschatica"
"1864","Achillea alpina multiflora"
"1865","Tripleurospermum maritimum subpolare"
"1866","Tripleurospermum maritimum phaeocephalum"
"1867","Tripleurospermum tetragonospermum "
"1868","Tripleurospermum inodorum "
"1869","Matricaria recutita "
"1870","Lepidotheca suaveolens "
"1871","Chrysanthemum mongolicum "
"1872","Arctanthemum arcticum arcticum"
"1873","Arctanthemum arcticum polare"
"1874","Hulteniella integrifolia "
"1875","Leucanthemum vulgare "
"1876","Tanacetum vulgare vulgare"
"1877","Tanacetum vulgare boreale"
"1878","Tanacetum bipinnatum "
"1879","Tanacetum huronense "
"1880","Artemisia tanacetifolia "
"1881","Artemisia arctisibirica "
"1882","Artemisia norvegica var. uralensis "
"1883","Artemisia subarctica "
"1884","Artemisia arctica arctica"
"1885","Artemisia arctica ehrendorferi"
"1886","Artemisia arctica beringensis"
"1887","Artemisia comata "
"1888","Artemisia furcata "
"1889","Artemisia globularia "
"1890","Artemisia globularia var. lutea "
"1891","Artemisia flava "
"1892","Artemisia frigida "
"1893","Artemisia sericea "
"1894","Artemisia hyperborea "
"1895","Artemisia lagopus abbreviata"
"1896","Artemisia lagopus triniana"
"1897","Artemisia glomerata "
"1898","Artemisia senjavinensis "
"1899","Artemisia kruhsiana kruhsiana"
"1900","Artemisia krushiana alaskana"
"1901","Artemisia kruhsiana condensata"
"1902","Artemisia samojedorum "
"1903","Artemisia jacutica "
"1904","Artemisia tilesii tilesii"
"1905","Artemisia tilesii elatior"
"1906","Artemisia vulgaris "
"1907","Artemisia leucophylla "
"1908","Artemisia dracunculus "
"1909","Artemisia canadensis "
"1910","Artemisia borealis borealis"
"1911","Artemisia borealis richardsoniana"
"1912","Tussilago farfara "
"1913","Petasites sagittatus "
"1914","Petasites x vitifolius "
"1915","Petasites frigidus frigidus"
"1916","Petasites frigidus nivalis"
"1917","Petasites frigidus palmatus"
"1918","Petasites frigidus arcticus"
"1919","Petasites radiatus "
"1920","Endocellion glaciale "
"1921","Endocellion sibiricum "
"1922","Parasenecio hastatus "
"1923","Senecio vulgaris "
"1924","Senecio nemorensis  nemorensis"
"1925","Senecio pseudoarnica "
"1926","Senecio lugens "
"1927","Packera heterophylla "
"1928","Packera ogotorukensis "
"1929","Packera hyperborealis hyperborealis"
"1930","Packera hyperborealis wrangelica"
"1931","Packera pauciflora "
"1932","Packera paupercula "
"1933","Tephroseris palustris congesta"
"1934","Tephroseris jacutica "
"1935","Tephroseris integrifolia "
"1936","Tephroseris tundricola "
"1937","Tephroseris lindstroemii "
"1938","Tephroseris atropurpurea "
"1939","Tephroseris frigida "
"1940","Tephroseris subfrigida "
"1941","Tephroseris kjellmanii "
"1942","Tephroseris yukonensis "
"1943","Ligularia sibirica "
"1944","Saussurea schanginiana "
"1945","Saussurea nuda "
"1946","Saussurea oxyodonta "
"1947","Saussurea parviflora "
"1948","Saussurea alpina "
"1949","Saussurea angustifolia angustifolia"
"1950","Saussurea angustifolia var. viscida "
"1951","Saussurea angustifolia yukonensis"
"1952","Saussurea tilesii "
"1953","Carduus crispus "
"1954","Cirsium heterophyllum "
"1955","Cirsium helenioides "
"1956","Cirsium arvense arvense"
"1957","Cirsium arvense setosum"
"1958","Centaurea montana "
"1959","Scorzoneroides autumnalis autumnalis"
"1960","Scorzoneroides autumnalis taraxaci"
"1961","Sonchus arvensis arvensis"
"1962","Sonchus arvensis uliginosus"
"1963","Lactuca sibirica "
"1964","Cicerbita alpina "
"1965","Agoseris glauca var. dasycephala "
"1966","Taraxacum holmenianum "
"1967","Taraxacum phymatocarpum agg. "
"1968","Taraxacum soczavae agg. "
"1969","Taraxacum alaskanum agg. "
"1970","Taraxacum arcticum agg. "
"1971","Taraxacum glabrum agg. "
"1972","Taraxacum ceratophorum agg. "
"1973","Taraxacum macroceras agg. "
"1974","Taraxacum lacerum agg. "
"1975","Taraxacum lateritium agg. "
"1976","Taraxacum albescens agg. "
"1977","Taraxacum Not assigned to aggregate: * T. longicorne (H-L, N) (R S F) / perfiljevii (D-G) (S F F) "
"1978","Taraxacum praestans agg. "
"1979","Taraxacum croceum agg. "
"1980","Taraxacum islandicum agg. "
"1981","Taraxacum spectabile agg. "
"1982","Taraxacum boreum agg. "
"1983","Taraxacum falcatum "
"1984","Taraxacum jacuticum "
"1985","Taraxacum crassipes agg. "
"1986","Taraxacum ruderalia agg. "
"1987","Crepis sibirica "
"1988","Crepis paludosa "
"1989","Crepis chrysantha minor"
"1990","Crepis tectorum tectorum"
"1991","Crepis tectorum nigrescens"
"1992","Crepis tectorum pumila"
"1993","Crepis multicaulis "
"1994","Askellia nana "
"1995","Askellia elegans "
"1996","Stenotheca tristis "
"1997","Pilosella peleteriana "
"1998","Pilosella cymosa "
"1999","Pilosella onegensis "
"2000","Pilosella Hieracium macranthelum "
"2001","Pilosella islandica "
"2002","Pilosella aurantiaca "
"2003","Hieracium murorum agg. "
"2004","Hieracium bifidum agg. "
"2005","Hieracium fuscocinereum agg. "
"2006","Hieracium vulgatum agg. "
"2007","Hieracium fasciculare agg. "
"2008","Hieracium caesium agg. "
"2009","Hieracium subramosum agg. "
"2010","Hieracium diaphanum agg. "
"2011","Hieracium diaphanoides agg. "
"2012","Hieracium schmidtii agg. "
"2013","Hieracium sommerfeltii agg. "
"2014","Hieracium saxifragum agg. "
"2015","Hieracium alatum agg. "
"2016","Hieracium alpinum agg. "
"2017","Hieracium nigrescens agg. "
"2018","Hieracium atratum agg. "
"2019","Hieracium rohacsense agg. "
"2020","Hieracium prenanthoides agg. "
"2021","Hieracium epimedium agg. "
"2022","Hieracium dovrense agg. "
"2023","Hieracium plicatum agg. "
"2024","Hieracium truncatum agg. "
"2025","Hieracium inuloides agg. "
"2026","Hieracium umbellatum agg. "
"2027","Hieracium laevigatum agg. "
"2028","Adoxa moschatellina "
"2029","Sambucus racemosa pubens"
"2030","Viburnum edule "
"2031","Lonicera caerulea altaica"
"2032","Lonicera caerulea pallasii"
"2033","Lonicera caerulea villosa"
"2034","Linnaea borealis borealis"
"2035","Linnaea borealis americana"
"2036","Valeriana capitata "
"2037","Valeriana dioica sylvatica"
"2038","Valeriana officinalis "
"2039","Valeriana sambucifolia procurrens"
"2040","Valeriana wolgensis "
"2041","Valeriana transjenisensis "
"2042","Chaerophyllum prescottii "
"2043","Sphallerocarpus gracilis "
"2044","Anthriscus sylvestris sylvestris"
"2045","Anthriscus sylvestris aemula"
"2046","Myrrhis odorata "
"2047","Pleurospermum austriacum uralense"
"2048","Bupleurum triradiatum "
"2049","Bupleurum arcticum "
"2050","Bupleurum americanum "
"2051","Cicuta virosa "
"2052","Cicuta bulbifera "
"2053","Cicuta douglasii "
"2054","Sium suave "
"2055","Carum carvi "
"2056","Pimpinella saxifraga "
"2057","Aegopodium alpestre "
"2058","Aegopodium podagraria "
"2059","Seseli condensatum "
"2060","Ligusticum scothicum scothicum"
"2061","Ligusticum scothicum hultenii"
"2062","Podistera macounii "
"2063","Pachypleurum alpinum "
"2064","Cenolophium denudatum "
"2065","Cnidium cnidiifolium "
"2066","Cnidium ajanense "
"2067","Conioselinum tataricum "
"2068","Conioselinum pacificum "
"2069","Angelica sylvestris "
"2070","Angelica archangelica archangelica"
"2071","Angelica archangelica var. decurrens "
"2072","Angelica atropurpurea "
"2073","Angelica gmelinii "
"2074","Angelica genuflexa  genuflexa"
"2075","Angelica tenuifolia "
"2076","Phloiodicarpus villosus "
"2077","Heracleum sphondylium sibiricum"
"2078","Heracleum lanatum "
"2079","Heracleum dissectum "
"2080","Heracleum persicum "
"2081","Heracleum mantegazzianum "
"2082","Achillea millefolium subsp. lanulosa (Nutt.) Piper"
"2083","Achillea millefolium L. subsp. millefolium "
"2084","Achillea ptarmica L."
"2085","Aegopodium podagraria L."
"2086","Agrostis canina L."
