"","scientificName","speciesKey"
"119","Epilobium angustifolium  subsp. circumvagum",6428353
"120","Allium maximowiczii",2856527
"121","Taraxacum macilentum",5394071
"122","Salix hastata f. tenuifoliasericea",NA
"123","Gastrolychnis angustiflora",5384771
"124","Spiraea betulifolia  var. aemiliana",3026550
"125","Mertensia simplicissima",5341246
"126","Lupinus nootkatensis  var. nootkatensis",2964525
"127","Artemisia kruhsiana  subsp. alaskana",3121166
"128","Rhodiola rosea f. purpurascens",2985688
"129","Campanula giesekiana",5410804
"130","Aster sibiricus f. albinus",5396081
"131","Aster subintegerrimus",5396081
"132","Eurybia sibirica  subsp. sibirica",5396081
"133","Saussurea angustifolia  var. yukonensis",5404691
"134","Armeria maritima  subsp. sibirica",8930531
"135","Rhododendron lapponicum subsp. alpinum",2883075
"136","Saxifraga cespitosa f. compacta",3032796
"137","Saxifraga monticola",3032796
"138","Papaver czekanowskii",8144599
"139","Cystopteris fragilis  subsp. fragilis",2650818
"140","Carex simpliciuscula",2710391
"141","Kobresia simpliciuscula  subsp. subfilifolia",2710391
"142","Parnassia palustris  var. palustris",3032585
"143","Corydalis pauciflora",5334205
"144","Angelica lucida",5371791
"145","Saxifraga oppositifolia  subsp. smalliana",8353146
"146","Saxifraga oppositifolia  subsp. murithiana",8353146
"147","Androsace septentrionalis var. typica",3169326
"148","Cardamine pratensis  subsp. polemonioides",3045704
"149","Cardamine nymanii",3045704
"150","Calamagrostis nutkaensis",2704874
"151","Ranunculus kamtschaticus",3033461
"152","Festuca richardsonii",2705033
"153","Gastrolychnis macrosperma",5384767
"154","Silene uralensis  subsp. porsildii",5384767
"155","Taraxacum korjakorum",5393976
"156","Arnica angustifolia  subsp. iljinii",8138466
"157","Arnica angustifolia  subsp. angustifolia",8138466
"158","Arnica parryi",5406027
"159","Anthoxanthum arcticum",2703334
"160","Ranunculus occidentalis",3033395
"161","Ranunculus occidentalis  var. nelsonii",3033353
"162","Carex glareosa  subsp. pribylovensis",2728183
"163","Carex glareosa  subsp. glareosa",2728183
"164","Oxytropis ajanensis",5361005
"165","Andryala integrifolia",9566243
"166","Luzula melanocarpa",4204322
"167","Luzula parviflora  subsp. parviflora",2700961
"168","Saxifraga rivularis  subsp. arctolitoralis",3032783
"169","Ranunculus cardiophyllus",3033319
"170","Androsace rotundifolia",8144779
"171","Alnus alnobetula  subsp. sinuata",8956987
"172","Alnus alnobetula",8956987
"173","Alnus alnobetula  subsp. crispa",8956987
"174","Primula cuneifolia  subsp. saxifragifolia",5414327
"175","Lathyrus vestitus  var. vestitus",7488830
"176","Lathyrus japonicus  var. maritimus",5356714
"177","Lathyrus japonicus  var. japonicus",5356714
"178","Saxifraga tenuis",5567575
"179","Iris setosa",5298796
"180","Iris setosa  var. setosa",5298796
"181","Myosotis asiatica",5341186
"182","Cystopteris fragilis  subsp. dickieana",2650819
"183","Aster alpinus  var. serpentimontanus",5387396
"184","Saxifraga flagellaris",7588471
"185","Arenaria obtusiloba",8375485
"186","Cardamine obliqua",3045681
"187","Sibbaldia parviflora",7376475
"188","Artemisia globularia subsp. lutea",3120860
"189","Cardaminopsis kamtschatica",5373276
"190","Ranunculus gelidus",3033461
"191","Pyrola minor f. brevis",2888272
"192","Cardamine oligosperma  var. kamtschatica",3046009
"193","Pulsatilla patens  subsp. multifida",3033623
"194","Pulsatilla nuttalliana",3033623
"195","Senecio tundricola subsp. lindstroemii",7434875
"196","Tephroseris tundricola subsp. lindstroemii",7434875
"197","Leymus villosissimus",4129467
"198","Carex nardina  var. hepburnii",2724888
"199","Antennaria monocephala  subsp. angustata",5385508
"200","Antennaria monocephala  subsp. monocephala",5385508
"201","Veronica stelleri",3172063
"202","Solidago compacta",5388877
"203","Polygonum ellipticum",4033054
"204","Salix lanata f. barrattiana",5372519
"205","Juncus arcticus  subsp. arcticus",2701151
"206","Claytonia sibirica",3084770
"207","Cerastium bialynickii",3813303
"208","Trichophorum cespitosum  subsp. cespitosum",2710592
"209","Elymus sajanensis",5290276
"210","Empetrum nigrum  subsp. hermaphroditum",6387994
"211","Gentianella propinqua  subsp. aleutica",3169856
"212","Boschniakia rossica",3173325
"213","Myosotis suaveolens",5661320
"214","Myosotis sylvatica",7981876
"215","Deschampsia atropurpurea",2705701
"216","Rumex pseudoxyria",2888971
"217","Acetosa pseudoxyria",2888971
"218","Rumex alpestris  subsp. lapponicus",2888971
"219","Braya purpurascens",7696043
"220","Sabulina verna",8074997
"221","Packera cymbalaria",3113982
"222","Argentina anserina  subsp. groenlandica",5367246
"223","Argentina pacifica",5367246
"224","Erigeron peregrinus  subsp. peregrinus",3147233
"225","Pedicularis chamissonis",3171680
"226","Athyrium filix-femina  subsp. filix-femina",5275044
"227","Platanthera convallariifolia",2798175
"228","Galium trifidum  subsp. halophilum",2913365
"229","Galium trifidum  subsp. trifidum",2913365
"230","Galium trifidum  subsp. columbianum",2913365
"231","Rosa acicularis  subsp. sayi",3002193
"232","Veronica serpyllifolia var. repens",3172057
"233","Veronica serpyllifolia subsp. humifusa",3172057
"234","Callitriche palustris  subsp. palustris",5372484
"235","Callitriche palustris  subsp. subanceps",5372484
"236","Epilobium ciliatum subsp. glandulosum",9188840
"237","Epilobium glandulosum",10313534
"238","Platanthera dilatata  var. albiflora",2797036
"239","Potentilla stipularis var. groenlandica",5365423
"240","Ligusticum scoticum  subsp. hultenii",3034798
"241","Ligusticum hultenii",3034798
"242","Poa eminens",4129137
"243","Pinguicula vulgaris var. minor",5415065
"244","Taraxacum pseudoalaskanum",6064045
"245","Ranunculus aquatilis  var. diffusus",3033377
"246","Ranunculus trichophyllus",3033377
"247","Ranunculus trichophyllus var. hispidulus",3033377
"248","Mertensia kamczatica",4066672
"249","Carex borealipolaris",8105384
"250","Antennaria dioiciformis",5385616
"251","Carex marina  subsp. marina",2727003
"252","Anaphalis margaritacea",4926336
"253","Polygonum ochreatum",9020499
"254","Polygonum riparium",9187457
"255","Lycopodium lagopus",2688387
"256","Physaria arctica",3048910
"257","Bromus sitchensis  var. aleutensis",2703698
"258","Bromus sitchensis",2703698
"259","Polypodium glycyrrhiza",5274957
"260","Taraxacum tamarae",5394447
"261","Juncus triglumis  subsp. albescens",8218416
"262","Draba hirta",3049820
"263","Carex circinnata",7577117
"264","Carex supina  var. spaniocarpa",2724323
"265","Pinguicula ramosa",8580928
"266","Ranunculus altaicus",7277597
"267","Anthoxanthum nitens",4133983
"268","Ranunculus uncinatus",7929662
"269","Plantago macrocarpa",3189777
"270","Campanula tschuktschorum",5410690
"271","Heracleum maximum",3034830
"272","Heracleum sphondylium  subsp. montanum",3034830
"273","Castilleja unalaschcensis",3170721
"274","Castilleja pallida",8342691
"275","Saxifraga pulvinaria",8419600
"276","Hedysarum boreale  subsp. mackenziei",2960863
"277","Cerastium arvense  subsp. strictum",11009783
"278","Carex soczavaeana",2726669
"279","Pyrola rotundifolia var. grandiflora",2888285
"280","Batrachium eradicatum",3921004
"281","Achnatherum calamagrostis",4142326
"282","Helictotrichon dahuricum",7746134
"283","Tripleurospermum hookeri",9161575
"284","Tripleurospermum maritimum subsp. phaeocephalum",9161575
"285","Carex kelloggii  var. limnophila",2723539
"286","Carex kelloggii",2723539
"287","Pyrola asarifolia  subsp. asarifolia",2888271
"288","Chrysosplenium serreanum",7339315
"289","Scleranthus annuus",9950772
"290","Potentilla pulchella subsp. gracilicaulis",5365824
"291","Montia vassilievii",10072609
"292","Platanthera chorisiana",2798128
"293","Platanthera tipuloides",2798184
"294","Rubus spectabilis",2998663
"295","Juncus ensifolius",2701612
"296","Juncus balticus  subsp. littoralis",2702048
"297","Rhinanthus groenlandicus",3172043
"298","Artemisia borealis subsp. richardsoniana",4228811
"299","Salix recurvigemmata",5583661
"300","Acetosella aureostigmatica",7472249
"301","Sorbus aucuparia  subsp. sibirica",3012167
"302","Parasenecio auriculatus",8232998
"303","Sibirotrisetum sibiricum",10954057
"304","Bromus berteroanus",4108966
"305","Veronica grandiflora",7332250
"306","Erigeron acris  subsp. politus",10409029
"307","Taraxacum officinale",5394016
"308","Polemonium campanulatum",7429716
"309","Polemonium chinense",4056486
"310","Polemonium caeruleum f. album",2927850
"311","Sanguisorba stipulata",3029411
"312","Aconitum maximum",3033667
"313","Isoetes maritima",2688249
"314","Platanthera stricta",2798146
"315","Thalictrum minus  subsp. kemense",3033129
"316","Thalictrum hultenii",3033129
"317","Sagina maxima  subsp. crassicaulis",3085404
"318","Sagina maxima",3085404
"319","Veronica americana",3172084
"320","Veronica beccabunga",3172062
"321","Taraxacum hyparcticum",5394357
"322","Taraxacum wrangelicum",5394398
"323","Eritrichium arctisibiricum",7640786
"324","Gentianella amarella  subsp. acuta",8196434
"325","Poa tolmatchewii",2704325
"326","Papaver minutiflorum",3603845
"327","Campanula dasyantha  subsp. chamissonis",5410843
"328","Thelypteris limbosperma",2651495
"329","Juncus falcatus",2701753
"330","Juncus falcatus  subsp. sitchensis",2701591
"331","Odontarrhena americana",3044773
"332","Tanacetum vulgare  subsp. vulgare",3118274
"333","Stellaria crispa",7982078
"334","Taraxacum uschakovii",5393972
"335","Fragaria chiloensis",7363489
"336","Neottia convallarioides",2816287
"337","Galium spurium",2913556
"338","Persicaria laxmannii",8979611
"339","Malaxis monophyllos",2808211
"340","Malaxis monophyllos  var. brachypoda",2808211
"341","Malaxis monophyllos  var. monophyllos",2808211
"342","Saxifraga aleutica",3032839
"343","Artemisia laciniata  subsp. laciniata",3120923
"344","Artemisia laciniata",3120878
"345","Ranunculus hyperboreus subsp. tricrenatus",3033354
"346","Ranunculus tricrenatus",7663610
"347","Menyanthes trifoliata  var. minor",5341511
"348","Potentilla tikhomirovii",5365843
"349","Geum pentapetalum",5369913
"350","Taraxacum longicorne",5394092
"351","Athyrium cyclosorum",7289163
"352","Athyrium asplenioides",7422009
"353","Maianthemum dilatatum",2769435
"354","Cirsium kamtschaticum",3113059
"355","Trollius riederianus",8073513
"356","Huperzia petrovii",3992204
"357","Picea sitchensis",5284827
"358","Oxytropis deflexa  subsp. dezhnevii",5361424
"359","Callitriche hermaphroditica  subsp. exalata",5372488
"360","Thelypteris quelpartensis",7511004
"361","Acetosella krausei",2888966
"362","Potamogeton alpinus  subsp. alpinus",5301175
"363","Potamogeton alpinus  subsp. tenuifolius",5301175
"364","Betula humilis",5331709
"365","Stellaria borealis  subsp. sitchana",5384671
"366","Jacobaea cannabifolia",5388606
"367","Potentilla tschukotica",8226792
"368","Adiantum pedatum",2651832
"369","Carex vesicata",2722050
"370","Cypripedium yatabeanum",2820321
"371","Vaccinium ovalifolium f. villosum",2882894
"372","Rumex aquaticus  subsp. protractus",2888992
"373","Spiraea salicifolia var. carnea",7731550
"374","Erysimum hieraciifolium var. cheiranthus",3048357
"375","Dryopteris dilatata",5275103
"376","Dryopteris spinulosa var. dilatata",5275103
"377","Potentilla borealis",5367826
"378","Antennaria pseudoarenicola",5385557
"379","Pinguicula macroceras",5415060
"380","Huperzia continentalis",10392391
"381","Poa stenantha",4114150
"382","Carex canescens  subsp. canescens",2722942
"383","Romanzoffia unalaschcensis  var. glabriuscula",2928044
"384","Ptarmica camtschatica",3120223
"385","Achillea alpina  subsp. alpina",3120223
"386","Achillea alpina  subsp. camtschatica",3120223
"387","Pedicularis paiana",3740500
"388","Gymnocarpium jessoense",2650848
"389","Viola biflora f. glabrifolia",5331325
"390","Taraxacum pseudoplatylepium",5394055
"391","Ranunculus propinquus",7277744
"392","Trifolium pratense  subsp. pratense",8324121
"393","Lychnis villosula",8373206
"394","Adiantum aleuticum",2651843
"395","Eragrostis stolonifera",4140589
"396","Carex spectabilis",2723145
"397","Carex echinata  subsp. echinata",2726894
"398","Carex leersii",2724306
"399","Carex nigricans",2727902
"400","Galium rubioides",2913315
"401","Draba ochroleuca",3050257
"402","Cerastium aleuticum",3085477
"403","Erigeron acris  subsp. kamtschaticus",3147080
"404","Utricularia macrorhiza",3172425
"405","Elymus hirsutus",5290327
"406","Lathyrus cicera",5356747
"407","Taraxacum tolmaczevii",5394127
"408","Taraxacum nanaunii",5394229
"409","Taraxacum acricorne",5394230
"410","Taraxacum petrovskyi",5394316
"411","Fallopia dumetorum",6391446
"412","Claytonia czukczorum",7125671
"413","Primula farinosa f. alba",7931979
"414","Calamagrostis kolymensis",9147700
"415","Isoetes truncata",2688310
"416","Carex enanderi",2723533
"417","Carex jacutica",2725494
"418","Carex stygia",2729473
"419","Hypochaeris radicata f. radicata",3093702
"420","Papaver anadyrense",3603144
"421","Ranunculus japonicus",7851483
"422","Astragalus arcuatus",5347151
"423","Oxytropis evenorum",5360950
"424","Aphragmus eschscholtziana",5375166
"425","Taraxacum gorodkovii",5393879
"426","Taraxacum pseudophaleratum",5394040
"427","Silene latifolia",5384795
"428","Saxifraga merckii",7843695
"429","Aruncus sylvester",5362136
"430","Galium verum  subsp. verum",9063248
"431","Polystichum microchlamys",2651095
"432","Isoetes occidentalis",2688313
"433","Juncus beringensis",2701713
"434","Carex algida",7999087
"435","Galium densiflorum",2914446
"436","Polemonium pulcherrimum  subsp. lindleyi",2927853
"437","Hedysarum dasycarpum",2960837
"438","Anemone drummondii",3033267
"439","Populus balsamifera f. typica",3040184
"440","Cardamine oligosperma",3046228
"441","Picris nuristanica",3093341
"442","Dryopteris campyloptera",10340075
"443","Myriophyllum spicatum",5361760
"444","Myriophyllum pinnatum",8017113
"445","Stellaria dicranoides",5384673
"446","Taraxacum anadyricum",5394086
"447","Zostera nigricaulis",5792280
"448","Stellaria radians",7268265
"449","Fimbripetalum radians",7268265
"450","Artemisia aleutica",9130088
"451","Polystichum braunii",9886963
"452","Luzula campestris",10012283
"453","Avena sativa",2705290
"454","Carex sordida",2726061
"455","Carex parallela  subsp. redowskiana",2729338
"456","Hedysarum truncatum",2960841
"457","Saxifraga chrysantha",3754195
"458","Ranunculus flammula  var. ovalis",3033312
"459","Ranunculus flammula",3033312
"460","Sagina decumbens  subsp. occidentalis",3085399
"461","Picris hieracioides  subsp. kamtschatica",3093276
"462","Picris hieracioides var. kamtschatica",3093276
"463","Artemisia montana",4228811
"464","Pilosella aurantiaca  subsp. decolorans",10335076
"465","Leontopodium villosulum",3140722
"466","Epilobium luteum",3189177
"467","Polystichum lachenense",4046853
"468","Poa urssulensis",4107833
"469","Poa platyantha",4114452
"470","Poa filiculmis",4122894
"471","Hylotelephium cyaneum",4202096
"472","Phyllodoce glanduliflora",5333382
"473","Taraxacum jurtzevii",5394458
"474","Lycopodium sabinaefolium",6385761
"475","Thymus pulegioides  subsp. montanus",5341443
"476","Urtica dioica  subsp. gracilis",6414539
"477","Lomatogonium carinthiacum  var. cordifolium",7408221
"478","Arnica intermedia",5406004
"479","Saxifraga ursina",7726513
"480","Lychnis ajanensis",8375029
"481","Sieversia pusilla",8257969
"482","Melica subulata",2703098
"483","Agrostis hyemalis",2706548
"484","Carex chlorostachys",2723252
"485","Carex rigidioides",7547229
"486","Platanthera unalascensis",2797023
"487","Cypripedium x alaskanum",2820348
"488","Oreomecon alpina",2888456
"489","Solanum tuberosum",2930262
"490","Melilotus suaveolens",2971041
"491","Rubus idaeus  subsp. strigosus",2993094
"492","Ranunculus aquatilis var. lobbii",3033361
"493","Draba praealta",3049599
"494","Leontopodium ochroleucum",3140712
"495","Symphyotrichum subspicatum",3151704
"496","Saxifraga multiflora",3753330
"497","Poa raduliformis",4112770
"498","Poa almasovii",4129606
"499","Deschampsia flexuosa",4149465
"500","Tephroseris x arctisibirica",4218983
"501","Potamogeton richardsonii",5301198
"502","Oxytropis campestris",7751588
"503","Potentilla evestita",5368603
"504","Potentilla petrovskyi",5368730
"505","Anthriscus nemorosa",5371742
"506","Arabis eschscholtziana",5375092
"507","Taraxacum stepanovae",5393968
"508","Taraxacum leucocarpum",5394089
"509","Taraxacum czukoticum",5394584
"510","Saussurea pseudoangustifolia",5404277
"511","Stellaria kolymensis",5584642
"512","Gastrolychnis brachypetala",5588587
"513","Pleuroziopsis ruthenica",NA
"514","Axyris hybrida",7339889
"515","Dracocephalum nutans",7309179
"516","Chrysosplenium rimosum  subsp. dezhnevii",7339593
"517","Urtica dioica  subsp. holosericea",6414539
"518","Juncus leucochlamus",7719596
"519","Arabis stelleri",7347319
"520","Dactylorhiza incarnata  subsp. incarnata",8248593
"521","Pilosella piloselloides  subsp. praealta",8288930
"522","Medicago sativa  subsp. sativa",9151957
"523","Carex macroprophylla",9581489
"524","Ophioglossum pusillum",2650138
"525","Gymnocarpium x intermedium",2650839
"526","Tsuga heterophylla",2687210
"527","Juncus decipiens",2701143
"528","Sparganium probatovae",2702308
"529","Bromus tectorum",2703746
"530","Arrhenatherum elatius",2704505
"531","Festuca occidentalis",2705003
"532","Holcus lanatus",2706164
"533","Lolium arundinaceum",2706231
"534","Festuca pratensis",2706237
"535","Carex lenticularis  var. dolia",2723534
"536","Carex oxyandra",2728913
"537","Elleanthus graminifolius",2839304
"538","Goodyera oblongifolia",2840754
"539","Allium victorialis",2857132
"540","Zostera marina",8028303
"541","Alnus hirsuta",7797155
"542","Sambucus racemosa f. nuda",2888723
"543","Rumex obtusifolius  subsp. transiens",2889011
"544","Vitex negundo",2925564
"545","Nephrophyllidium crista-galli",2927472
"546","Solanum sisymbriifolium",2932184
"547","Medicago platycarpos",2965568
"548","Rubus idaeus  f. succineus",2993094
"549","Potentilla bifurca var. major",3000723
"550","Malus sylvestris",3001509
"551","Chamaerhodos erecta",3031905
"552","Heuchera parvifolia",7485688
"553","Ranunculus muricatus var. carolinus",3033318
"554","Ranunculus sceleratus var. typicus",3033374
"555","Lomatium sandbergii",3034300
"556","Conium maculatum",3034807
"557","Cardamine scutata",3046248
"558","Parrya asperrima",3053835
"559","Atriplex gmelinii  var. alaskensis",3083774
"560","Nabalus alatus",3090747
"561","Agoseris aurantiaca var. aurantiaca",3092928
"562","Achillea asiatica",3120173
"563","Artemisia stelleriana",3121391
"564","Lactuca serriola",3140490
"565","Leontopodium stellatum",3140724
"566","Leontopodium kamtschaticum",3140725
"567","Erigeron caespitans",3146656
"568","Erigeron pumilus",3146698
"569","Erigeron uniflorus  subsp. uniflorus",3147144
"570","Kleinhovia hospita",3152102
"571","Gentianopsis detonsa  subsp. yukonensis",3169899
"572","Rhinanthus serotinus",8335594
"573","Limosella australis",3172213
"574","Utricularia australis",4088311
"575","Epilobium x treleasianum",3189151
"576","Epilobium clavatum",3189160
"577","Papaver stubendorfii",3601941
"578","Pleurospermum uralense",3632864
"579","Botrychium yaaxudakeit",3659355
"580","Pedicularis kolymensis",3742076
"581","Saxifraga x cochleariifolia",3753968
"582","Saxifraga jurtzevii",3754672
"583","Minuartia rubra",3812210
"584","Erodium stephanianum",3829143
"585","Ajuga pygmaea",3886751
"586","Anemone ochotensis",3922888
"587","Glyceria spiculosa",4105294
"588","Trisetokoeleria jurtzevii",4114380
"589","Poa beringiana",4115146
"590","Poa pattersonii",4115160
"591","Hierochloe spicata",4133269
"592","Anthoxanthum glabrum",4133983
"593","Vaccinium minusculum",4170661
"594","Luzula parviflora  subsp. fastigiata",4204322
"595","Potamogeton obtusifolius",5301231
"596","Viola glabella",5331176
"597","Wendlandia formosana",5338708
"598","Trifolium cyathiferum",5359034
"599","Potentilla anjuica",5365950
"600","Potentilla nivalis",5366085
"601","Potentilla tschaunensis",5366477
"602","Potentilla chrysantha",5366938
"603","Potentilla x safronoviae",5367884
"604","Potentilla beringensis",5368879
"605","Potentilla tolmatchevii",5368969
"606","Geum x macranthum",5369763
"607","Mitella nuda f. prostrata",5371643
"608","Salix petiolaris",5372524
"609","Salix commutata",5372700
"610","Montia chamissoi",7399472
"611","Antennaria rosea  subsp. pulvinata",5385499
"612","Solidago cuprea",5388930
"613","Cichorium intybus",5392252
"614","Taraxacum korjakense",5394242
"615","Taraxacum lenense",5394275
"616","Taraxacum varioviolaceum",5394306
"617","Taraxacum senjavinensis",5394332
"618","Sonneratia alba",5406998
"619","Campanula alaskana",7667676
"620","Campanula punctata  var. punctata",5411557
"621","Eugenia brongniartiana",5416569
"622","Rhopalocarpus lucidus",5553783
"623","Bergenia purpurascens",7339454
"624","Gastrolychnis saxatilis",7855161
"625","Thymus ochotensis",5606086
"626","Oxytropis rarytkinensis",5611124
"627","Woodsia subintermedia",5643788
"628","Cassiope x anadyrensis",5683601
"629","Taraxacum anadyrense",5699337
"630","Juncus hybridus",6413509
"631","Solidago virgaurea f. corsica",6446462
"632","Malus baccata",7600795
"633","Petasites spurius",3088310
"634","Poa x tolmatschewii",7730806
"635","Stellaria petraea",7738136
"636","Aster subinteger",5396081
"637","Geranium maculatum",2890394
"638","Pedicularis gymnostachya",7918946
"639","Gentiana frigida",7922250
"640","Senecio campester",4240312
"641","Pedicularis resupinata f. alba",8140157
"642","Chenopodium glaucum",8290282
"643","Gastrolychnis violascens",8292209
"644","Salix dshugdshurica",8371893
"645","Potentilla multifida f. cana",8416400
"646","Scorzonera radiata",3111006
"647","Plantago asiatica",9118978
"648","Kuruna debilis",9368028
"649","Stipa nelsonii",9995849
"650","Swertia perennis",5595494
"651","Huperzia miyoshiana",2688461
"652","Equisetum hyemale",2687927
"653","Equisetum variegatum",7740925
"654","Botrychium virginianum",7917024
"655","Asplenium septentrionale",2650720
"656","Onoclea struthiopteris",2650999
"657","Abies balsamea",2685383
"658","Nuphar variegata",6434989
"659","Nymphaea tetragona",2882435
"660","Butomus umbellatus",2864467
"661","Alisma lanceolatum",2865125
"662","Sagittaria cuneata",5329097
"663","Sagittaria natans",5329151
"664","Scheuchzeria palustris",2865260
"665","Potamogeton epihydrus",5301148
"666","Potamogeton lucens",9668359
"667","Potamogeton compressus",7689610
"668","Potamogeton foliosus",5301191
"669","Potamogeton sibiricus",7289613
"670","Potamogeton pusillus",8351789
"671","Veratrum viride",2742119
"672","Paris quadrifolia",5295919
"673","Fritillaria camschatcensis",5300639
"674","Goodyera repens",2840931
"675","Allium strictum",2856145
"676","Juncus minutulus",7414128
"677","Juncus tenuis",7762429
"678","Luzula piperi",2701040
"679","Schoenoplectus tabernaemontani",2711157
"680","Schoenoplectus pungens",2711190
"681","Eriophorum virginicum",2730250
"682","Eleocharis macrostachya",2716792
"683","Eleocharis mamillata",10326195
"684","Eleocharis kamtschatica",2717701
"685","Carex pediformis",2726768
"686","Carex ericetorum",2729081
"687","Carex petricosa  var. misandroides",2729896
"688","Carex atrosquama",10440770
"689","Carex meyeriana",2721995
"690","Carex schmidtii",2723295
"691","Carex pseudocuraica",2722788
"692","Carex praecox",2727655
"693","Carex pachystachya",2724825
"694","Avenula pubescens",2703793
