"Species_SubSpecies","CW","WI","CS","CE","AN","AW","CC","HL","EP","GW","GE","NI","JM","FN","SF","FJL","KP","UN","YG","AO","Tm","Kh","YK"
"Silene noctiflora L.","","","","","","○","","","","","","","","","","","","","","","","",""
"Silene vulgaris subsp. vulgaris (Moench) Garcke","","","","","","","","","","○","","","","×","","","●","●","","","×","",""
"Sinapis alba L.","","","","","","","","","","","","○","","","","","○","","","","","",""
"Sinapis arvensis L.","","","○","○","","","","","","","","○","","","○","","●","","","","","○",""
"Sisymbrium altissimum L.","","","","","","","","","","","","○","","","○","","○","","","","","",""
"Sisymbrium loeselii L.","","","","","","","","","","","","","","","","","○","","","","","",""
"Sisymbrium polymorphum (Murray) Roth","","","","","","","","","","","","","","","","","○","","","","","",""
"Sisyrinchium montanum Greene","","","","","","","","","","●","","","","","","","","","","","","",""
"Sonchus arvensis L.","","","","●","","","×","×","","","","","","","","","○","","","","×","",""
"Sonchus oleraceus L.","","","","","","","","","","","","","","","○","","●","","","","","",""
"Spergularia rubra (L.) J. Presl & C. Presl","","","","","","","","","","●","","","","×","","","","","","","","",""
"Sphallerocarpus gracilis (Besser ex Trevir.) Koso-Pol.","","","×","●","","","","","","","","","","","","","","","","","","",""
"Stellaria graminea L.","","","","","","","","","","●","","●","","","○","","","","","","","",""
"Stellaria holostea L.","","","","","","","","","","","","","","","","","","○","","","","",""
"Stellaria media (L.) Vill.","●","","●","●","●","●","×","×","","","","","","","●","","●","○","●","","●","",""
"Symphytum asperum Lepechin","","","","","","","","","","","","","","×","","","○","","","","","",""
"Tanacetum vulgare ","","","","","","","×","","","○","","○","","×","○","","●","","","","×","●",""
"Taraxacum ruderalia agg.","","","","","IR","IR","×","●","","●","","","","","●","","●","●","","","","",""
"Thlaspi arvense L.","","","","○","","○","×","○","","●","","○","","×","○","","●","○","","","×","",""
"Tragopogon orientalis L.","","","","","","","","","","","","","","","","","○","","","","","",""
"Trifolium arvense L.","","","","","","","","","","","","","","","","","○","","","","","",""
"Trifolium hybridum L.","","","","","IT","IR","","×","","●","","●","","×","○","","●","●","","","×","",""
"Trifolium lupinaster L.","×","","○","","","","","","","","","","","","","","","","","","","",""
"Trifolium montanum L.","","","","","","","","","","","","","","×","","","","","","","","",""
