"scientificName","speciesKey"
"Sisyrinchium angustifolium",5296015
"Erigeron annuus",3117449
"Prunus armeniaca",7818643
"Cycloloma atriplicifolium",11715681
"Salix babylonica",5372638
"Impatiens balfourii",2891783
"Oenothera biennis",9968142
"Amaranthus blitoides",5384395
"Lepidium bonariense",5376925
"Cuscuta campestris",3610757
"Erigeron canadensis",3146717
"Elodea canadensis",2865448
"Ficus carica",5361909
"Prunus cerasus",3021922
"Erysimum cheiri",3048203
"Buddleja davidii",3173338
"Amaranthus deflexus",5384396
"Cedrus deodara",5284698
"Lepidium didymum",5377060
"Paspalum distichum",2702529
"Prunus domestica",7924011
"Prunus domestica  subsp. insititia",9871293
"Prunus dulcis",3020791
"Carpobrotus edulis",3084842
"Oenothera fallax",7915783
"Azolla filiculoides",2650107
"Bidens frondosa",5392174
"Amorpha fruticosa",5360278
"Gomphocarpus fruticosus",7150619
"Chamaemelum fuscatum",7617059
"Iris x germanica",5298069
"Bougainvillea glabra",5384862
"Eucalyptus globulus",3176787
"Cardiospermum halicacabum",3189939
"Inula helenium",3148340
"Sporobolus indicus",4149245
"Cyclospermum leptophyllum",8350395
"Euphorbia maculata",3067119
"Antirrhinum majus",NA
"Lemna minuta",2867614
"Dysphania multifida",5568361
"Cymbalaria muralis",8200663
"Erucastrum nasturtiifolium",5375555
"Acer negundo",8718761
"Morus nigra",5361888
"Euphorbia nutans",3070346
"Xanthium strumarium  subsp. strumarium",3089154
"Iris pallida",5298069
"Oenothera parodiana",7322757
"Veronica peregrina",3172104
"Veronica persica",10175644
"Oxalis pes-caprae",7919774
"Pinus pinea",5285165
"Robinia pseudoacacia",5352251
"Physalis pubescens",5341819
"Amaranthus retroflexus",6109534
"Alcea rosea",5406789
"Armoracia rusticana",3041022
"Cynara cardunculus",3112364
"Bassia scoparia",5383936
"Glebionis segetum",3141101
"Cupressus sempervirens",2684030
"Mentha spicata",2927175
"Aralia spinosa",3036972
"Xanthium spinosum",3089150
"Symphyotrichum subulatum  var. squamatum",3151764
