"scientificName","speciesKey"
"acer pseudoplatanus var. purpurascens van houtte",3189870
"acer pseudoplatanus f. variegatum (weston) rehder",3189870
"acer pseudoplatanus var. albovariegatum hayne ex loudon",3189870
"acer pseudoplatanus var. purpureum loudon",3189870
"potentilla erecta var. erecta",5365576
"potentilla tormentilla (crantz) neck.",5365576
"potentilla erecta subsp. strictissima (zimmeter) a.j.richards",5365576
"potentilla erecta (l.) hampe",5365576
"potentilla erecta (l.) mela",5365576
"potentilla sylvestris neck.",5365576
"tormentilla erecta l.",5365576
"tormentilla dissecta timb.-lagr.",5365576
"tormentilla officinalis curtis",5365576
"anthriscus sylvestris subsp. sylvestris",5371742
"sh0980659.09fu",5371742
"anthriscus sylvestris subsp. nemorosa (m.bieb.) c.y.wu & f.t.pu",5371742
"anthriscus sylvestris var. sylvestris",5371742
"anthriscus sylvestris subsp. stenophylla briq.",5371742
"anthriscus sylvestris subsp. alpina (vill.) gremli",5371742
"anthriscus aemula (woronow) schischk.",5371742
"anthrichaerophyllum loretii (rouy & e.g.camus) p.fourn.",5371742
"anthriscus sylvestris var. nemorosa (m.bieb.) trautv.",5371742
"prunella vulgaris var. lanceolata (w.p.c.barton) fernald",5341297
"prunella vulgaris subsp. lanceolata (w.p.c.barton) piper & beattie",5341297
"prunella vulgaris var. vulgaris",5341297
"prunella dissecta wender.",5341297
"prunella vulgaris subsp. vulgaris",5341297
"prunella vulgaris subsp. lanceolata (w.p.c.barton) hultén",5341297
"brunella vulgaris l.",5341297
"prunella vulgaris subsp. asiatica (nakai) h.hara",5341297
"prunella officinalis crantz",5341297
"molinia caerulea subsp. caerulea",5289877
"molinia coerulea (l.) moench",5289877
"molinia caerulea var. pratensis schltdl.",5289877
"molinia caerulea var. depauperata (lindl.) asch. & graebn.",5289877
"aira atrovirens thuill.",5289877
"molinia caerulea var. caerulea",5289877
"festuca caerulea (l.) dc.",5289877
"molinia caerulea var. subspicata figert",5289877
"molinia caerulea var. viridiflora lej.",5289877
"pinus sylvestris var. sylvestris",5285637
"pinus sylvestris var. lapponica hartm.",5285637
"pinus sylvestris subsp. lapponica (hartm.) sylvén",5285637
"pinus sylvestris var. patula rouy",5285637
"pinus sylvestris var. mongolica litv.",5285637
"pinus sylvestris f. erythranthera (sanio) ahlfv.",5285637
"pinus sylvestris f. brachyphylla wittr.",5285637
