rawName,rawName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Bellis perennis L.,Bellis perennis L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,5,1,wfo-0000072578,urn:lsid:ipni.org:names:184409-1,GCC-B92D99A7-DDB5-422F-A14C-362FBC207915,Bellis perennis,species,wfo-4000004367,L.,Asteraceae,"","",,Bellis,"",perennis,"",species,Valid,Sp. Pl. : 886 (1753),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 886 1753  to Sp. Pl. : 886 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-29324 >The Plant Li",http://www.theplantlist.org/tpl1.1/record/gcc-29324,The Asteraceaae TEN,A,gcc-29324,"",TRUE,Synonym,wfo-0000131064,Bellis perennis f. plena,""
Berteroa incana,Berteroa incana (L.) DC.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,6,1,wfo-0000564515,urn:lsid:ipni.org:names:278924-1,806985,Berteroa incana,species,wfo-4000004509,(L.) DC.,Brassicaceae,"","",,Berteroa,"",incana,"",species,Valid,Syst. Nat. 2: 291 (1821),Accepted,"",wfo-0000529545,,"Source in seed data: cmp Update namepublishedIn from Syst. Nat. [Candolle] 2: 291. 1821 [late May 1821]  to Syst. Nat. 2: 291 (1821), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org",http://www.theplantlist.org/tpl1.1/record/kew-2675159,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2675159,"",FALSE,"","","",""
Brassica rapa subsp. campestris,Brassica rapa subsp. campestris (L.) A.R. Clapham,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,7,1,wfo-0000571544,urn:lsid:ipni.org:names:279485-1,814347,Brassica rapa,species,wfo-4000005345,L.,Brassicaceae,"","",,Brassica,"",rapa,"",species,Valid,Sp. Pl. : 666 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 666 1753  to Sp. Pl. : 666 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2682652 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2682652,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2682652,"",TRUE,Synonym,wfo-0000571553,Brassica rapa subsp. campestris,""
Bromus arvensis L.,Bromus arvensis L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,9,8,1,wfo-0000855198,urn:lsid:ipni.org:names:393536-1,400659,Bromus arvensis,species,wfo-4000005481,L.,Poaceae,"","",,Bromus,"",arvensis,"",species,Valid,Sp. Pl. : 77 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 77 1753  to Sp. Pl. : 77 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-400659 >The Plant Lis",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393536-1,The Poaceae TEN,A,kew-400659,"",TRUE,Synonym,wfo-0000855202,Bromus arvensis f. degener,smallest ID
Bromus inermis Leyss.,Bromus inermis Leyss.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,9,1,wfo-0000855743,urn:lsid:ipni.org:names:74816-3,401195,Bromus inermis,species,wfo-4000005481,Leyss.,Poaceae,"","",,Bromus,"",inermis,"",species,Valid,Fl. Halens. : 16 (1761),Accepted,"","",,"Source in seed data: wcs Updated namepublishedIn from Fl. Halens. 16 1761  to Flora Halensis 1761 , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-401195 >The Pla",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393784-1,The Poaceae TEN,A,kew-401195,"",FALSE,"","","",Not a synonym
Calamagrostis epigejos,Calamagrostis epigejos (L.) Roth,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,10,1,wfo-0000857259,urn:lsid:ipni.org:names:394433-1,402643,Calamagrostis epigejos,species,wfo-4000005939,(L.) Roth,Poaceae,"","",,Calamagrostis,"",epigejos,"",species,Valid,Tent. Fl. Germ.  1: 34 (1788),Accepted,"",wfo-0000850947,,"Source in seed data: wcs Update namepublishedIn from Tent. Fl. Germ. 1: 34. 1788 [Feb-Apr 1788]  to Tent. Fl. Germ. 1: 34 (1788), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:394433-1,The Poaceae TEN,A,kew-402643,"",FALSE,"","","",""
Campanula glomerata L.,Campanula glomerata L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,11,1,wfo-0000827269,urn:lsid:ipni.org:names:140364-1,364698,Campanula glomerata,species,wfo-4000006381,L.,Campanulaceae,"","",,Campanula,"",glomerata,"",species,Valid,Sp. Pl. : 166 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 1: 166. 1753 [1 May 1753]  to Sp. Pl. : 166 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-36",http://www.theplantlist.org/tpl1.1/record/kew-364698,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-364698,"",FALSE,"","","",Accepted
Capsella bursa-pastoris,Capsella bursa-pastoris (L.) Medik.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,1,1,wfo-0000585589,urn:lsid:ipni.org:names:279929-1,829427,Capsella bursa-pastoris,species,wfo-4000006621,Medik.,Brassicaceae,"","",,Capsella,"",bursa-pastoris,"",species,Valid,Pflanzeng. 85.,Accepted,"",wfo-0000410870,,"Source in seed data: cmp Updated scientificnameAuthorship from (L.) Medik. to Medik., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2697999 >The Plant List v.1.1",http://www.theplantlist.org/tpl1.1/record/kew-2697999,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2697999,"",FALSE,"","","",""
Caragana arborescens Lam.,Caragana arborescens Lam.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,6,2,1,wfo-0000213639,urn:lsid:ipni.org:names:483792-1,8707,Caragana arborescens,species,wfo-4000006638,Lam.,Fabaceae,Papilionoideae,"",,Caragana,"",arborescens,"",species,Valid,Encycl.1: 615 (1785),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from Encycl. [J. Lamarck & al.] 1(2): 615. 1785 [1 Aug 1785]  to Encycl. 1: 615 (1785), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist",https://www.legumedata.org/taxonomy/taxon/698707,The Fabaceae TEN - Legume Taxonomy Working Group,A,ild-8707,"",TRUE,Synonym,wfo-0001445053,Caragana arborescens f. nana,""
Carduus crispus L.,Carduus crispus L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,3,1,wfo-0000136888,urn:lsid:ipni.org:names:188569-1,GCC-0835F93D-149A-4964-A4BB-123AC27F1C6C,Carduus crispus,species,wfo-4000006704,L.,Asteraceae,"","",,Carduus,"",crispus,"",species,Valid,Sp. Pl. : 821 (1753),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Sp. Pl.: 821 (1753)  to Sp. Pl. : 821 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-9759 >The Plant ",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188569-1,The Asteraceaae TEN,A,gcc-9759,"",TRUE,Synonym,wfo-0000107829,Carduus crispus var. albus,""
