rawName,rawName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Allium schoenoprasum L.,Allium schoenoprasum L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,2,1,wfo-0000757278,urn:lsid:ipni.org:names:528823-1,296525,Allium schoenoprasum,species,wfo-4000001260,L.,Amaryllidaceae,"","",,Allium,"",schoenoprasum,"",species,Valid,Sp. Pl. : 301 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 301 1753  to Sp. Pl. : 301 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-296525 >The Plant L",http://www.theplantlist.org/tpl1.1/record/kew-296525,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-296525,"",FALSE,"","","",""
Amaranthus retroflexus L.,Amaranthus retroflexus L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,3,1,wfo-0000530447,urn:lsid:ipni.org:names:10698-2,765214,Amaranthus retroflexus,species,wfo-4000001466,L.,Amaranthaceae,"","",,Amaranthus,"",retroflexus,"",species,Valid,Sp. Pl. : 991 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 991 1753  to Sp. Pl. : 991 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2633061 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2633061,The Caryophyllales Taxonomic Expert Network,A,kew-2633061,"",FALSE,"","","",""
Amsinckia lycopsoides Lehm.,Amsinckia lycopsoides Lehm.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,4,1,wfo-0000532131,urn:lsid:ipni.org:names:113055-1,767175,Amsinckia lycopsoides,species,wfo-4000001764,Lindl. ex Lehm.,Boraginaceae,"","",,Amsinckia,"",lycopsoides,"",species,Valid,Del. Sem. Hort. Hamburg (1831) 7.,Accepted,"","",,"Source in seed data: cmp Updated namepublishedIn from Index Seminum (HBG) 1831: 7 1831  to Del. Sem. Hort. Hamburg (1831) 7. , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1",http://www.theplantlist.org/tpl1.1/record/kew-2635037,The Boraginaceae TEN,A,kew-2635037,"",FALSE,"","","",""
Anemone nemorosa L.,Anemone nemorosa L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,5,1,wfo-0000535996,urn:lsid:ipni.org:names:13540-2,771000,Anemonoides quinquefolia,species,wfo-4000002057,(L.) Holub,Ranunculaceae,"","",,Anemonoides,"",quinquefolia,"",species,Valid,Folia Geobot. Phytotax. 8: 166 (1973),Accepted,"",wfo-0000535705,,"Source in seed data: cmp Update namepublishedIn from Folia Geobot. Phytotax. 8: 166 1973  to Folia Geobot. Phytotax. 8: 166 (1973), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:13540-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2638887,"",TRUE,Synonym,wfo-0000535581,Anemone nemorosa f. nitida,""
Anethum graveolens L.,Anethum graveolens L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,6,1,wfo-0000536042,urn:lsid:ipni.org:names:837530-1,771041,Anethum graveolens,species,wfo-4000002069,L.,Apiaceae,"","",,Anethum,"",graveolens,"",species,Valid,Sp. Pl. : 263 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1: 263. 1753 [1 May 1753]  to Sp. Pl. : 263 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-26",http://www.theplantlist.org/tpl1.1/record/kew-2638934,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2638934,"",FALSE,"","","",Not a synonym
Arabidopsis arenosa subsp. arenosa,Arabidopsis arenosa subsp. arenosa (L.) Lawalrée,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,7,1,wfo-0000541763,urn:lsid:ipni.org:names:277940-1,777270,Arabidopsis arenosa,species,wfo-4000002812,(L.) Lawalrée,Brassicaceae,"","",,Arabidopsis,"",arenosa,"",species,Valid,Bull. Soc. Roy. Bot. Belgique 92: 242 (1960),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Bull. Soc. Roy. Bot. Belgique 92: 242. 1960  to Bull. Soc. Roy. Bot. Belgique 92: 242 (1960), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.the",http://www.theplantlist.org/tpl1.1/record/kew-2645201,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2645201,"",TRUE,Synonym,wfo-0001285545,Arabidopsis arenosa subsp. arenosa,""
Artemisia absinthium L.,Artemisia absinthium L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,8,1,wfo-0000134589,urn:lsid:ipni.org:names:300106-2,GCC-AE97CE9A-B6F9-442A-87E6-8F29A9074155,Artemisia absinthium,species,wfo-4000003144,L.,Asteraceae,"","",,Artemisia,"",absinthium,"",species,Valid,Sp. Pl. : 848 (1753),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 848 1753  to Sp. Pl. : 848 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-95372 >The Plant Li",http://www.theplantlist.org/tpl1.1/record/gcc-95372,The Asteraceaae TEN,A,gcc-95372,"",FALSE,"","","",""
Artemisia canadensis Michx.,Artemisia canadensis Michx.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,9,1,wfo-0000037954,urn:lsid:ipni.org:names:20546-2,GCC-6ACA0477-9FDA-4B98-B5C9-02759AF6D96C,Artemisia campestris  subsp. canadensis,subspecies,wfo-0000068600,(Michx.) Scoggan,Asteraceae,"","",,Artemisia,"",campestris,canadensis,subspecies,Valid,Fl. Canada : 52 (1978),Accepted,"",wfo-0000135354,,"Source in seed data: gcc Update namepublishedIn from 52 1978  to Fl. Canada : 52 (1978), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-1367 >The Plant List v.1.1",http://www.theplantlist.org/tpl1.1/record/gcc-1367,The Asteraceaae TEN,A,gcc-1367,"",TRUE,Synonym,wfo-0000135354,Artemisia canadensis,""
Artemisia jacutica Drobov,Artemisia jacutica Drobov,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,1,1,wfo-0000068193,urn:lsid:ipni.org:names:179652-1,GCC-4C982047-6434-4BCD-8AB2-2E43F2083F9D,Artemisia jacutica,species,wfo-4000003144,Drobow,Asteraceae,"","",,Artemisia,"",jacutica,"",species,Valid,Trav. Mus. Bot. Acad. Petersb. xii. 108 (1914),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Trav. Mus. Bot. Acad. Petersb. 12: 108. 1914  to Trav. Mus. Bot. Acad. Petersb. xii. 108 (1914), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.",http://www.theplantlist.org/tpl1.1/record/gcc-25049,The Asteraceaae TEN,A,gcc-25049,"",FALSE,"","","",""
Astragalus alpinus subsp. alpinus L.,Astragalus alpinus subsp. alpinus L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,4,2,1,wfo-0000214091,"",9150,Astragalus alpinus  subsp. alpinus,subspecies,wfo-0000163769,"",Fabaceae,"","",,Astragalus,"",alpinus,alpinus,subspecies,Valid,"",Accepted,"","",,"Source in seed data: ildis Updated taxonomicstatus from Synonym to Accepted, information provided by Alan E. on email Apr. 05, 2022 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-9150 >The Plant List v.1.1.</a> Origi",https://www.legumedata.org/taxonomy/taxon/1241594,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-9150,"",FALSE,"","","",""
Atriplex hortensis L.,Atriplex hortensis L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,3,1,wfo-0000556137,urn:lsid:ipni.org:names:272934-2,797378,Atriplex hortensis,species,wfo-4000003611,L.,Amaranthaceae,"","",,Atriplex,"",hortensis,"",species,Valid,Sp. Pl. : 1053 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1053 1753  to Sp. Pl. : 1053 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2665365 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-2665365,The Caryophyllales Taxonomic Expert Network,A,kew-2665365,"",FALSE,"","","",""
Atriplex prostrata subsp. prostrata Boucher ex DC.,Atriplex prostrata subsp. prostrata Boucher ex DC.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,32,4,1,wfo-0000556490,urn:lsid:ipni.org:names:60448217-2,797706,Atriplex prostrata,species,wfo-4000003611,Boucher ex DC.,Amaranthaceae,"","",,Atriplex,"",prostrata,"",species,Valid,"Fl. Franç. , ed. 3, 3: 387 (1805)",Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Fl. Franç. ed. 3, 3: 387 1805  to Fl. Franç. , ed. 3, 3: 387 (1805), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re",http://www.theplantlist.org/tpl1.1/record/kew-2665694,The Caryophyllales Taxonomic Expert Network,A,kew-2665694,"",FALSE,"","","",Not a synonym
Atriplex sagittata Bkh.,Atriplex sagittata Bkh.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,5,5,1,wfo-0000556566,urn:lsid:ipni.org:names:164128-1,797774,Atriplex sagittata,species,wfo-4000003611,Borkh.,Amaranthaceae,"","",,Atriplex,"",sagittata,"",species,Valid,Rhein. Mag. Erweit. Naturk. 1: 477 (1793),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Rhein. Mag. Erweit. Naturk. 1: 477 1793  to Rhein. Mag. Erweit. Naturk. 1: 477 (1793), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantli",http://www.theplantlist.org/tpl1.1/record/kew-2665762,The Caryophyllales Taxonomic Expert Network,A,kew-2665762,"",FALSE,"","","",""
Avena fatua L.,Avena fatua L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,6,1,wfo-0000851838,urn:lsid:ipni.org:names:391443-1,397488,Avena fatua,species,wfo-4000003762,L.,Poaceae,"","",,Avena,"",fatua,"",species,Valid,Sp. Pl. : 80 (1753),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 80 1753  to Sp. Pl. : 80 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-397488 >The Plant Lis",http://www.theplantlist.org/tpl1.1/record/kew-397488,The Poaceae TEN,A,kew-397488,"",TRUE,Synonym,wfo-0000851860,Avena fatua var. alta,""
Avena sativa L.,Avena sativa L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,8,7,1,wfo-0000852084,urn:lsid:ipni.org:names:391627-1,397722,Avena nuda,species,wfo-4000003762,L.,Poaceae,"","",,Avena,"",nuda,"",species,Valid,Amoen. Acad. 3: 401 (1756),Accepted,"","",,"Source in seed data: wcs Update namepublishedIn from Demonstr. Pl. 3. 1753 [3 Oct 1753]  to Amoen. Acad. 3: 401 (1756), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record",http://www.theplantlist.org/tpl1.1/record/kew-397722,The Poaceae TEN,A,kew-397722,"",TRUE,Synonym,wfo-0000852266,Avena sativa var. nuda,Accepted
Avenula pubescens,Avenula pubescens (Huds.) Dumort.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,8,1,wfo-0000852708,urn:lsid:ipni.org:names:392028-1,398317,Avenula pubescens,species,wfo-4000003766,(Huds.) Dumort.,Poaceae,"","",,Avenula,"",pubescens,"",species,Valid,Bull. Soc. Roy. Bot. Belgique 7: 68 (1868),Accepted,"",wfo-0000852192,,"Source in seed data: wcs Update namepublishedIn from Bull. Soc. Roy. Bot. Belgique vii. 68 (1868), in adnot.  to Bull. Soc. Roy. Bot. Belgique 7: 68 (1868), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:392028-1,The Poaceae TEN,A,kew-398317,"",FALSE,"","","",""
Axyris amaranthoides L.,Axyris amaranthoides L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,9,1,wfo-0000557450,urn:lsid:ipni.org:names:164269-1,798799,Axyris amaranthoides,species,wfo-4000003796,L.,Amaranthaceae,"","",,Axyris,"",amaranthoides,"",species,Valid,Sp. Pl. : 979 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 979 1753  to Sp. Pl. : 979 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2666799 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2666799,The Caryophyllales Taxonomic Expert Network,A,kew-2666799,"",FALSE,"","","",""
Beckmannia eruciformis subsp. borealis Tzvelev,Beckmannia eruciformis subsp. borealis Tzvelev,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,24,1,1,wfo-0000853638,urn:lsid:ipni.org:names:392623-1,399185,Beckmannia eruciformis,species,wfo-4000004295,Host,Poaceae,"","",,Beckmannia,"",eruciformis,"",species,Valid,"Icon. Descr. Gram. Austriac. 3: 5, t. 6. 1805",Accepted,"",wfo-0000889699,,"Source in seed data: wcs Updated scientificnameAuthorship from (L.) Host to Host, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-399185 >The Plant List v.1.1.</a>",http://www.theplantlist.org/tpl1.1/record/kew-399185,The Poaceae TEN,A,kew-399185,"",FALSE,"","","",""
Bistorta officinalis Raf.,Bistorta officinalis Raf.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,5,2,1,wfo-0000488076,urn:lsid:ipni.org:names:694924-1,705979,Persicaria bistorta,species,wfo-4000028848,Samp.,Polygonaceae,"","",,Persicaria,"",bistorta,"",species,Valid,Herb. Port. : 41 (1913),Accepted,"",wfo-0000489629,,"Source in seed data: cmp Updated scientificnameAuthorship from (L.) Samp. to Samp., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2571994 >The Plant List v.1.1.<",http://www.theplantlist.org/tpl1.1/record/kew-2571994,The Caryophyllales Taxonomic Expert Network,A,kew-2571994,"",TRUE,Synonym,wfo-0000566165,Bistorta officinalis,""
Brassica juncea,Brassica juncea (L.) Czern.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,3,1,wfo-0000571186,urn:lsid:ipni.org:names:60442520-2,813994,Brassica juncea,species,wfo-4000005345,(L.) Czern.,Brassicaceae,"","",,Brassica,"",juncea,"",species,Valid,Consp. Pl. Charc. : 8 (1859),Accepted,"",wfo-0000432723,,"Source in seed data: cmp Update namepublishedIn from Consp. Pl. Charc. 8 1859  to Consp. Pl. Charc. : 8 (1859), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-268",http://www.theplantlist.org/tpl1.1/record/kew-2682298,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2682298,"",FALSE,"","","",""
Brassica napus subsp. rapifera Metzg. ex Sinskaya,Brassica napus subsp. rapifera Metzg. ex Sinskaya,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,35,4,1,wfo-0000571271,urn:lsid:ipni.org:names:279419-1,814076,Brassica napus,species,wfo-4000005345,L.,Brassicaceae,"","",,Brassica,"",napus,"",species,Valid,Sp. Pl. : 666 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 666 1753  to Sp. Pl. : 666 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2682380 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2682380,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2682380,"",FALSE,"","","",""
Brassica oleracea L.,Brassica oleracea L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,6,5,1,wfo-0000571350,urn:lsid:ipni.org:names:279435-1,814152,Brassica oleracea,species,wfo-4000005345,L.,Brassicaceae,"","",,Brassica,"",oleracea,"",species,Valid,Sp. Pl. : 667 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 667 1753  to Sp. Pl. : 667 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2682457 >The Plant ",http://www.theplantlist.org/tpl1.1/record/kew-2682457,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2682457,"",TRUE,Synonym,wfo-0000571354,Brassica oleracea f. alba,""
