"scientificName"
"Dactyloctenium aegyptium"
"Crataegus azarolus"
"Senna barclayana"
"Corymbia calophylla"
"Taeniatherum caput-medusae"
"Rubus erythrops"
"Anagyris foetida"
"Anemone hortensis"
"Chamaerops humilis"
"Papaver dodecandrum"
"Rosa indica"
"Callistachys lanceolata"
"Valeriana macrosiphon"
"Narcissus medio-luteus"
"Ulmus minor"
"Trifolium nigrescens"
"Iris orientalis"
"Allium paniculatum"
"Pholiurus pannonicus"
"Hypecoum pendulum"
"Reseda phyteuma"
"Polycarena rariflora"
"Medicago rugosa"
"Crataegus sinaica"
"Platycapnos spicatus"
"Bifora testiculata"
"Spergularia villosa"
"Gladiolus watsonius"
"Iris xiphium"
"Reseda alba"
"Dischisma arenarium"
"Erica baccans"
"Echium candicans"
"Melianthus comosus"
"Crataegus crus-galli"
"Hakea drupacea"
"Lobelia erinus"
"Valeriana eriocarpa"
"Elymus farctus"
"Banksia formosa"
"Sambucus gaudichaudiana"
"Crassula glomerata"
"Ruta graveolens"
"Taraxacum hepaticolor"
"Solanum hoplopetalum"
"Quercus ilex"
"Lythrum junceum"
"Trifolium lappaceum"
"Bromus lithobius"
"Aphanes microcarpa"
"Bacopa monnieri"
"Polygala monspeliaca"
"Valerianella muricata"
"Melaleuca nesophila"
"Lathyrus odoratus"
"Ranunculus ophioglossifolius"
"Cuscuta planiflora"
"Hakea prostrata"
"Echium simplex"
"Genista spachiana"
"Juncus subnodulosus"
"Lotus tenuis"
"Aristida vagans"
"Sparaxis villosa"
"Othonna daucifolia"
"Lantana camara  subsp. aculeata"
"Noltea africana"
"Ammobium alatum"
"Lachenalia aloides"
"Kunzea ambigua"
"Fragaria × ananassa"
"Tordylium apulum"
"Pteridium aquilinum"
"Moraea aristata"
"Centaurea aspera"
"Scrophularia auriculata"
"Plantago australis"
"Rubus barberi"
"Moraea bellendenii"
"Rubus buergeri"
"Panicum buncei"
"Stachys byzantina"
"Erica canaliculata"
"Cedronella canariensis"
"Daboecia cantabrica"
"Carpinus caroliniana"
"Carpobrotus chilensis"
"Crassula ciliata"
"Melica ciliata"
"Erica cinerea"
"Eucalyptus cinerea"
"Darwinia citriodora"
"Pyracantha coccinea"
"Ferula communis"
"Myrtus communis"
"Leopoldia comosa"
"Eucalyptus conferruminata"
"Angophora costata"
"Erica cruenta"
"Hakea cucullata"
"Euphorbia cyparissias"
"Cotoneaster dammeri"
"Hypolepis dicksonioides"
"Crepis dioscoridis"
"Erica discolor"
"Kunzea ericoides"
"Tilia europaea"
"Hesperantha falcata"
"Corymbia ficifolia"
"Washingtonia filifera"
"Acacia fimbriata"
"Acacia floribunda"
"Gladiolus floribundus"
"Trifolium fragiferum  var. fragiferum"
"Moraea fugax"
"Rosa gallica"
"Stachys germanica"
"Utricularia gibba"
"Wedelia glauca"
"Lampranthus glaucus"
"Cupressus goveniana"
"Valeriana graciliflora"
"Amaranthus graecizans  subsp. silvestris"
"Ceratopetalum gummiferum"
"Erica hirtiflora"
"Melaleuca hypericifolia"
"Cistus inflatus"
"Ehrharta juncea"
"Grevillea juniperina"
"Pyracantha koidzumii"
"Pomaderris lanigera"
"Lobelia laxiflora"
"Nassella leucotricha"
"Serapias lingua"
"Corymbia maculata"
"Erica mauritanica"
"Trifolium micranthum"
"Marsilea mutica"
"Clinopodium nepeta  subsp. glandulosum"
"Kennedia nigricans"
"Chamaemelum nobile"
"Rosmarinus officinalis"
"Quercus palustris"
"Centaurea paniculata"
"Ixia paniculata"
"Stipa papposa"
"Limonium perezii"
"Erica peziza"
"Crataegus phaenopyrum"
"Rubus phaeocarpus"
"Oenanthe pimpinelloides"
"Oxalis polyphylla  var. pentaphylla"
"Banksia undata"
"Taraxacum pseudocalocephalum"
"Acacia pulchella  var. glaberrima"
"Hovea pungens"
"Erica quadrangularis"
"Pelargonium quercifolium"
"Rubus riddelsdellii"
"Trifolium rubens"
"Rubus rubritinctus"
"Prunus salicina"
"Eucalyptus saligna"
"Spiraea sanssouciana"
"Euphorbia segetalis"
"Grevillea sericea"
"Hakea sericea"
"Chaenomeles speciosa"
"Veronica speciosa"
"Lathyrus sphaericus"
"Trifolium strictum"
"Erica subulata"
"Choisya ternata"
"Gunnera tinctoria"
"Viburnum tinus"
"Sporobolus × townsendii"
"Gilia tricolor"
"Hovea trisperma"
"Erica trivialis"
"Hakea undulata"
"Iris unguicularis"
"Wigandia urens"
"Coronilla vaginalis"
"Erica vestita"
"Clematis vitalba"
"Calepina irregularis"
"Euclidium syriacum"
"Hyoscyamus albus"
"Laburnum anagyroidis"
"Potentilla anglica"
"Sporobolus anglicus"
"Medicago arborea"
"Salix atrocinerea"
"Atriplex australasica"
"Pittosporum bicolor"
"Linum bienne"
"Lasiospermum bipinnatum"
"Eragrostis brownii"
"Erica caffra"
"Luzula campestris"
"Anisodontea capensis"
"Bromus cebadilla"
"Tanacetum cinerariifolium"
"Passiflora cinnabarina"
"Hesperantha coccinea"
"Gladiolus colvillii"
"Luzula congesta"
"Juncus conglomeratus"
"Silene conica"
"Alnus cordata"
"Sulla coronaria"
"Cistus creticus"
"Myriophyllum crispatum"
"Urospermum dalechampii"
"Danthonia decumbens"
"Silene dichotoma"
"Carex divulsa"
"Solanum dulcamara"
"Rubus echinatus"
"Veronica elliptica"
"Euonymus europaeus"
"Medicago falcata"
"Scabiosa farinosa"
"Carex flacca"
"Carex flagellifera"
"Amphibromus fluitans"
"Glyceria fluitans"
"Chenopodium foliosum"
"Petrosedum forsterianum"
"Petasites pyrenaicus"
"Lomatia fraseri"
"Solanum furcatum"
"Dysphania glomulifera"
"Lepidium heterophyllum"
"Erica holosericea"
"Geranium homeanum"
"Acacia howittii"
"Hypericum humifusum"
"Taraxacum kok-saghyz"
"Griselinia littoralis"
"Silene longicaulis"
"Nonea lutea"
"Bothriochloa macra"
"Cenchrus caudatus"
"Solanum marginatum"
"Catapodium marinum"
"Cladium mariscus  subsp. intermedium"
"Centaurea moncktonii"
"Elymus multiflorus"
"Draba muralis"
"Crassula muscosa"
"Lathyrus nissolia"
"Veronica notabilis"
"Glyceria notata"
"Teesdalia nudicaulis"
"Epilobium nummulariifolium"
"Epilobium obscurum"
"Lithospermum officinale"
"Sigesbeckia orientalis"
"Stachys palustris"
"Acacia paradoxa"
"Eragrostis parviflora"
"Betula pendula"
"Lonicera periclymenum"
"Scilla peruviana"
"Acacia pravissima"
"Persicaria prostrata"
"Hypericum pulchrum"
"Raphanus raphanistrum  subsp. landra"
"Lupinus regalis"
"Potentilla reptans"
"Acacia retinodes"
"Austroderia richardii"
"Valeriana rimosa"
"Coprosma robusta"
"Epilobium rotundifolium"
"Kennedia rubicunda"
"Hakea salicifolia"
"Polyscias sambucifolia"
"Ribes sanguineum"
"Pycreus sanguinolentus"
"Carex scoparia"
"Erica scoparia"
"Teucrium scorodonia"
"Pentaglottis sempervirens"
"Podalyria sericea"
"Dichanthium sericeum"
"Cotoneaster glaucophyllus  var. serotinus"
"Isolepis setacea"
"Sedum sexangulare"
"Syzygium smithii"
"Ononis spinosa"
"Prunus spinosa"
"Lawrencia squamata"
"Nicotiana sylvestris"
"Pittosporum tenuifolium"
"Carex testacea"
"Hypericum tetrapterum"
"Cladium tetraquetrum var. planifolium"
"Cota tinctoria"
"Trifolium uniflorum"
"Symphytum uplandicum"
"Gastridium ventricosum"
"Watsonia versfeldii"
"Carex viridula  subsp. oedocarpa"
"Carex viridula  subsp. brachyrrhyncha"
"Xerochrysum viscosum"
"Aquilegia vulgaris"
"Polygala vulgaris"
"Pinus wallichiana"
"Geranium yeoi"
"Acacia acuminata"
"Potamogeton acutifolius"
"Chasmanthe aethiopica"
"Salvia africana-lutea"
"Capnophyllum africanum"
"Lycium afrum"
"Sinapis alba  subsp. dissecta"
"Watsonia aletroides"
"Alkekengi officinarum"
"Pennisetum alopecuroides"
"Babiana angustifolia"
"Salvia apiana"
"Ornithogalum arabicum"
"Ludwigia arcuata"
"Plantago aristata"
"Anthoxanthum aristatum"
"Cupressus arizonica  var. glabra"
"Sonchus glaucescens"
"Geissorhiza aspera"
"Eucalyptus astringens"
"Castilleja attenuata"
"Haworthiopsis attenuata"
"Iva axillaris"
"Aristea bakeri"
"Viola banksii"
"Kunzea baxteri"
"Chasmanthe bicolor"
"Piptochaetium bicolor"
"Sclerolaena bicornis"
"Crassula biplanata"
"Panicum bisulcatum"
"Sphaeralcea bonariensis"
"Linaria bordiana"
"Albuca bracteata"
"Taraxacum bracteatum"
"Sagittaria brevirostra"
"Ixia campanulata"
"Populus deltoides  subsp. monilifera"
"Hypericum canariense"
"Populus × canescens"
"Spiraea cantoniensis"
"Pauridia capensis"
"Cornus capitata"
"Saururus cernuus"
"Nassella charruana"
"Cuscuta chinensis"
"Rosa chinensis"
"Physalis cinerascens"
"Rubus cissburiensis"
"Eucalyptus cladocalyx"
"Silene coeli-rosa"
"Gladiolus colvillei"
"Chrysocoma cernua"
"Cerastium comatum"
"Senecio condylus"
"Cardamine corymbosa"
"Passerina corymbosa"
"Lotus creticus"
"Carex cuprina"
"Dryopteris cycadina"
"Acacia cyclops"
"Billardiera cymosa  subsp. pseudocymosa"
"Paspalum dasypleurum"
"Callitriche deflexa"
"Actinidia chinensis  var. deliciosa"
"Carex densa"
"Melaleuca densa"
"Allocasuarina diminuta"
"Melaleuca diosmifolia"
"Ephedra distachya"
"Achillea distans  subsp. tanacetifolia"
"Carex distans"
"Lepidium ecklonii"
"Acacia elata"
"Hakea elliptica"
"Acacia elongata"
"Juncus ensifolius"
"Banksia ericifolia"
"Metrosideros excelsa"
"Fraxinus excelsior"
"Castilleja exserta"
"Acacia extensa"
"Clematis flammula"
"Romulea flava  var. minor"
"Paspalidium flavidum"
"Nicotiana flindersiensis"
"Grevillea floribunda"
"Chaenostoma floribundum"
"Silene flos-cuculi"
"Juncus fontanesii"
"Trachycarpus fortunei"
"Tetragonia fruticosa"
"Plectranthus fruticosus"
"Moraea fugacissima"
"Billardiera fusiformis"
"Lamium galeobdolon  subsp. argentatum"
"Ruschia geminiflora"
"Oxalis glabra"
"Buddleja globosa"
"Yucca gloriosa  var. tristis"
"Taraxacum gracilens"
"Lepidium graminifolium"
"Hypericum grandifolium"
"Actinotus helianthi"
"Leersia hexandra"
"Hyacinthoides hispanica"
"Cotoneaster horizontalis"
"Pelargonium hortorum"
"Pulsatilla halleri"
"Lampranthus immelmaniae"
"Melaleuca incana"
"Narcissus incomparabilis"
"Abutilon indicum"
"Juncus inflexus"
"Hypericum inodorum"
"Dietes iridioides"
"Dimorphotheca jucunda"
"Eucalyptus kondininensis"
"Kennedia lateritia"
"Phillyrea latifolia"
"Phalaris lemmonii"
"Trifolium leucanthum"
"Opuntia leucotricha"
"Moraea lewisiae"
"Ageratina ligustrina"
"Melaleuca linariifolia"
"Melaleuca linearis"
"Collomia linearis"
"Suaeda linifolia"
"Eucalyptus longifolia"
"Westringia longifolia"
"Matthiola longipetala"
"Aristida longispica"
"Ixia longituba"
"Eucalyptus macarthurii"
"Centaurea macrocephala"
"Sagittaria macrophylla"
"Chenopodium macrospermum"
"Taxandria marginata"
"Nymphaea marliacea"
"Chimonobambusa marmorea"
"Eucalyptus megacornuta"
"Amsinckia menziesii"
"Pseudotsuga menziesii"
"Trifolium michelianum"
"Sanguisorba verrucosa"
"Vinca minor"
"Acacia mollifolia"
"Salix mollissima"
"Cistus monspeliensis"
"Piptochaetium montevidense"
"Schoenoplectiella mucronata"
"Taraxacum multidentatum"
"Pteris multifida"
"Polygonatum multiflorum"
"Cytisus multiflorus"
"Pinus muricata"
"Muscari neglectum"
"Albuca nelsonii"
"Centaurea nigra"
"Laurus nobilis"
"Callitris oblonga"
"Oxalis obtusa"
"Stachys obtusifolia"
"Eucalyptus occidentalis"
"Persicaria odorata"
"Hakea oleifolia"
"Symphoricarpos orbiculatus"
"Trachystemon orientalis"
"Fraxinus ornus"
"Prostanthera ovalifolia"
"Ligustrum ovalifolium"
"Crassula ovata"
"Grevillea oxyantha"
"Juncus oxycarpus"
"Juncus pallescens"
"Pentameris pallida"
"Acer palmatum"
"Taxandria parviceps"
"Pelargonium peltatum"
"Carex pendula"
"Scirpus pendulus"
"Ornithopus perpusillus"
"Hakea petiolaris"
"Alliaria petiolata"
"Felicia petiolata"
"Rubus phoenicolasius"
"Pilosella bauhini"
"Homalanthus populifolius"
"Hoheria populnea"
"Acacia prominens"
"Arctotheca prostrata"
"Conicosia pugioniformis  subsp. muirii"
"Carex punctata"
"Elymus pungens"
"Picea pungens"
"Triphysaria pusilla"
"Solanum quadriloculatum"
"Myosotis ramosissima"
"Lotus rectus"
"Taraxacum retzii"
"Aizoon rigidum"
"Acacia rostellifera"
"Bupleurum rotundifolium"
"Leptospermum rotundifolium"
"Crassula rubricaulis"
"Sedum rubrotinctum"
"Pinus sabiniana"
"Baccharis salicina"
"Melaleuca lophantha"
"Stenocarpus salignus"
"Taraxacum sarcidanum"
"Acacia schinoides"
"Eucalyptus scias"
"Hordeum secalinum"
"Sequoia sempervirens"
"Solidago sempervirens"
"Roepera sessilifolia"
"Trianoptiles solitaria"
"Moraea spathulata"
"Calicotome spinosa"
"Ononis spinosa  subsp. procurrens"
"Taraxacum squamulosum"
"Grindelia squarrosa"
"Saxifraga stolonifera"
"Eucalyptus stricklandii"
"Cordyline stricta"
"Melaleuca styphelioides"
"Taraxacum subbracteatum"
"Quercus suber"
"Stachys sylvatica"
"Brachypodium sylvaticum"
"Notobasis syriaca"
"Onopordum tauricum"
"Narcissus tazetta  subsp. aureus"
"Narcissus tazetta  subsp. italicus"
"Wachendorfia thyrsiflora"
"Plantago triandra"
"Carex tribuloides"
"Hypericum triquetrifolium"
"Nerine undulata"
"Baeometra uniflora"
"Tribolium uniolae"
"Piptochaetium uruguense"
"Ranunculus ficaria"
"Austrostipa verticillata"
"Diplotaxis viminea"
"Melaleuca viminea"
"Moraea virgata"
"Dittrichia viscosa"
"Dodonaea viscosa"
"Arisarum vulgare"
"Clinopodium vulgare"
"Lysimachia vulgaris"
"Anthyllis vulneraria"
"Eucalyptus woodwardii"
"Populus yunnanensis"
"Avena abyssinica"
"Portulacaria afra"
"Gladiolus alatus"
"Freesia leichtlinii  subsp. alba"
"Lysimachia arvensis  var. caerulea"
"Vicia benghalensis"
"Wahlenbergia capensis"
"Gladiolus caryophyllaceus"
"Plantago cretica"
"Crassula decumbens"
"Acaena echinata"
"Opuntia engelmannii  var. lindheimeri"
"Corynephorus fasciculatus"
"Pentzia globosa"
"Crambe hispanica"
"Cyanella hyacinthoides"
"Juncus hybridus"
"Periballia laevis"
"Cyperus longus"
"Crassula natans"
"Vicia dumetorum"
"Allium orientale"
"Typha orientalis"
"Brassica oxyrrhina"
"Bromus pectinatus"
"Biserrula pelecinus"
"Gorteria personata"
"Sparaxis pillansii"
"Rumex pulcher  subsp. woodsii"
"Lolium remotum"
"Elymus scabrus"
"Heliophila seselifolia"
"Holcus setiger"
"Trifolium spumosum"
"Gamochaeta stagnalis"
"Lysimachia verna"
"Atriplex undulata"
"Opuntia dejecta"
"Stylosanthes fruticosa"
"Atriplex lentiformis"
"Helianthus petiolaris  var. canescens"
"Launaea sarmentosa"
"Ipomoea carnea"
"Paspalum fasciculatum"
"Cyperus imbricatus"
"Physalis minima"
"Pennisetum pedicellatum"
"Cenchrus pedicellatus  subsp. unispiculus"
"Ocimum tenuiflorum"
"Pteris tremula"
"Ranunculus minimus"
"Astragalus vogelii  subsp. fatimensis"
"Sphaeromorphaea australis"
"Pupalia lappacea"
"Pupalia micrantha"
"Indigofera oblongifolia"
"Ottelia ovalifolia"
"Isachne pulchella"
"Vitex trifolia"
"Acaena agnipila"
"Rubus alumnus"
"Scleroblitum atriplicinum"
"Phragmites australis"
"Cleretum bellidiforme"
"Solidago chilensis"
"Senecio diaschides"
"Cyperus laevigatus"
"Trifolium ligusticum"
"Sorghastrum nutans"
"Pelargonium panduriforme"
"Galium parisiense"
"Veronica plebeia"
"Trifolium pratense  subsp. pratense"
"Lachenalia reflexa"
"Hypolepis rugosula"
"Lapeirousia anceps"
"Atriplex canescens"
"Elymus distichus"
"Delosperma vinaceum"
"Lonicera americana"
"Vallisneria americana"
"Phleum arenarium"
"Grammatotheca bergiana"
"Nerine bowdenii"
"Alocasia brisbanensis"
"Rumex bucephalophorus"
"Banksia canei"
"Oxalis caprina"
"Gladiolus cardinalis"
"Melaleuca citrina"
"Callitris columellaris"
"Adenocarpus complicatus"
"Romneya coulteri"
"Casuarina cunninghamiana"
"Hakea dactyloides"
"Dennstaedtia davallioides"
"Lavandula dentata"
"Ozothamnus diosmifolius"
"Andropogon distachyos"
"Hibiscus diversifolius"
"Tribolium echinatum"
"Albuca flaccida"
"Puccinellia gigantea"
"Coreopsis grandiflora"
"Dietes grandiflora"
"Sparaxis grandiflora"
"Aristolochia grandiflora"
"Echinospartum horridum"
"Watsonia knysnana"
"Acacia mearnsii"
"Stellaria multiflora"
"Rumex × muretii"
"Babiana nana"
"Rosa noisettiana"
"Acaena novae-zelandiae"
"Nymphaea odorata"
"Narcissus papyraceus"
"Tamarix"
"Reichardia picroides"
"Juncus polyanthemus"
"Oxalis polyphylla"
"Rubus praecox"
"Callitris preissii"
"Rumex pseudopulcher"
"Ehrharta pusilla"
"Aristida ramosa"
"Rosa × rehderiana"
"Protea repens"
"Eucalyptus resinifera"
"Hackelia suaveolens"
"Echinochloa telmatophila"
"Crassula thunbergiana"
"Samolus valerandi"
"Illecebrum verticillatum"
"Crepis vesicaria"
"Melaleuca viminalis"
"Oxalis violacea"
"Tolpis virgata"
"Syringa vulgaris"
"Eucalyptus petiolaris"
"Solanum tuberosum"
"Lactuca virosa"
"Sorghum amplum"
"Isachne globosa"
"Vigna radiata  var. setulosa"
"Bonnaya ruellioides"
"Sida subcordata"
"Indigofera hochstetteri"
"Indigofera sessiliflora"
"Vallisneria australis"
"Succowia balearica"
"Eucalyptus botryoides"
"Xerochrysum bracteatum"
"Lachenalia bulbifera"
"Triglochin bulbosa"
"Albuca canadensis"
"Muehlenbeckia complexa"
"Thalia dealbata"
"Helianthus debilis  subsp. cucumerifolius"
"Asparagus densiflorus"
"Oxalis depressa"
"Yucca filamentosa"
"Argyranthemum foeniculaceum"
"Solanum giganteum"
"Cullen graveolens"
"Platanus hispanica"
"Banksia integrifolia"
"Oenothera jamesii"
"Vachellia karroo"
"Pancratium maritimum"
"Leucanthemum maximum"
"Lachenalia mutabilis"
"Tetragonia nigrescens"
"Romulea obscura"
"Wachendorfia paniculata"
"Tigridia pavonia"
"Azolla pinnata"
"Eucalyptus polyanthemos"
"Auranticarpa rhombifolia"
"Convolvulus sabatius"
"Crypsis schoenoides"
"Spinifex sericeus"
"Mesembryanthemum parviflorum"
"Epilobium tetragonum"
"Parthenocissus tricuspidata"
"Hibiscus tridactylites"
"Babiana tubiflora"
"Acacia auriculiformis"
"Echinochloa elliptica"
"Spirodela polyrhiza"
"Alternanthera ramosissima"
"Phoenix roebelenii"
"Cyperus surinamensis"
"Vigna trilobata"
"Pelargonium alchemilloides"
"Rumex frutescens"
"Eucalyptus microcorys"
"Eucalyptus muelleriana"
"Pinus palustris"
"Rubus parviflorus"
"Callitris rhomboidea"
"Rubus ursinus"
"Hibiscus acetosella"
"Solanum aculeastrum"
"Crotalaria agatiflora  subsp. imperialis"
"Gigantochloa albociliata"
"Chrysanthellum americanum"
"Acanthus arboreus"
"Bulbostylis barbata"
"Crotalaria brevidens"
"Solanum campylacanthum"
"Sambucus canadensis"
"Alternanthera caracasana"
"Allium cepa"
"Vigna comosa"
"Mimosa diplotricha"
"Pithecellobium dulce"
"Galphimia glauca"
"Calliandra houstoniana  var. calothyrsus"
"Stachytarpheta indica"
"Chrysanthellum indicum"
"Payena leerii"
"Terminalia mantaly"
"Persicaria nepalensis"
"Cananga odorata"
"Cinchona officinalis"
"Diplocyclos palmatus"
"Schizolobium parahyba"
"Hamelia patens"
"Jatropha podagrica"
"Thespesia populnea"
"Acanthus pubescens"
"Tephrosia pumila"
"Tephrosia purpurea"
"Tephrosia purpurea  subsp. leptostachya"
"Plumeria rubra"
"Melanthera scandens subsp. madagascariensis"
"Stellaria sennii"
"Toona sinensis"
"Teramnus uncinatus  subsp. axilliflorus"
"Teramnus uncinatus  subsp. ringoetii"
"Meiogyne virgata"
"Symphytum grandiflorum"
"Phytolacca acinosa"
"Lonicera acuminata"
"Spiraea alba"
"Petasites albus"
"Clethra alnifolia"
"Ribes alpinum"
"Epimedium alpinum"
"Erinus alpinus"
"Verbesina alternifolia"
"Scutellaria altissima"
"Lysichiton americanus"
"Hieracium amplexicaule  subsp. spelaeum"
"Kalmia angustifolia"
"Fraxinus angustifolia  subsp. oxycarpa"
"Juncus anthelatus"
"Anemonoides apennina"
"Thalictrum aquilegiifolium"
"Polygonum arenarium  subsp. pulchellum"
"Rubus armeniacus"
"Papaver atlanticum"
"Chaerophyllum aureum"
"Ribes aureum"
"Rorippa austriaca"
"Sisymbrium austriacum  subsp. chrysanthum"
"Linum austriacum"
"Fallopia baldschuanica"
"Chenopodium berlandieri"
"Anemonoides blanda"
"Acorus calamus"
"Artemisia campestris  subsp. maritima"
"Glyceria canadensis"
"Impatiens capensis"
"Lonicera caprifolium"
"Arabis caucasica"
"Symphytum caucasicum"
"Corydalis cava"
"Quercus cerris"
"Spiraea chamaedryfolia"
"Symphoricarpos chenaultii"
"Aristolochia clematitis"
"Hedera colchica"
"Achillea collina"
"Doronicum columnae"
"Aubrieta columnae"
"Bidens connata"
"Macleaya cordata"
"Philadelphus coronarius"
"Carex crawfordii"
"Rumex cristatus  subsp. kerneri"
"Solanum nigrum"
"Oenothera parviflora"
"Panicum dichotomiflorum"
"Cotoneaster dielsianus"
"Eurybia divaricata"
"Ribes divaricatum"
"Cotoneaster divaricatus"
"Epilobium dodonaei"
"Spiraea douglasii"
"Lindernia dubia"
"Geranium endressii"
"Catalpa erubescens"
"Euphorbia esula  subsp. tommasiniana"
"Asarum europaeum"
"Echinops exaltatus"
"Doronicum × excelsum"
"Setaria faberi"
"Campanula fenestrellata"
"Veronica filiformis"
"Hieracium flagellare"
"Photinia floribunda"
"Crepis foetida  subsp. rhoeadifolia"
"Juncus foliosus"
"Dicentra formosa"
"Euonymus fortunei"
"Agrostis fouilladei"
"Pterocarya fraxinifolia"
"Scirpus georgianus"
"Mespilus germanica"
"Solidago gigantea"
"Dianthus giganteus"
"Impatiens glandulifera"
"Yucca gloriosa"
"Ludwigia grandiflora"
"Tellima grandiflora"
"Arabidopsis halleri"
"Crassula helmsii"
"Myriophyllum heterophyllum"
"Lathyrus heterophyllus"
"Hedera hibernica"
"Symphytum hidcotense"
"Aesculus hippocastanum"
"Sedum hispanicum"
"Narcissus hispanicus"
"Cotoneaster hjelmqvistii"
"Euphorbia humifusa"
"Equisetum praealtum"
"Eranthis hyemalis"
"Senecio inaequidens"
"Potentilla inclinata"
"Silene italica"
"Populus × jackii"
"Spiraea japonica"
"Pseudosasa japonica"
"Petasites japonicus"
"Syringa josikaea"
"Berberis julianae"
"Rudbeckia laciniata"
"Dipsacus laciniatus"
"Symphyotrichum laeve"
"Amelanchier lamarckii"
"Symphyotrichum lanceolatum"
"Campanula latifolia"
"Sagittaria latifolia"
"Euonymus latifolius"
"Senecio vernalis"
"Lonicera ligustrina  var. yunnanensis"
"Lonicera ligustrina  var. pileata"
"Sisymbrium loeselii"
"Scilla luciliae"
"Pseudofumaria lutea"
"Rhododendron luteum"
"Odontites luteus"
"Vaccinium macrocarpon"
"Cicerbita macrophylla  subsp. uralensis"
"Cicerbita macrophylla  subsp. macrophylla"
"Aristolochia macrophylla"
"Tanacetum macrophyllum"
"Geranium macrorrhizum"
"Eutrochium maculatum"
"Eleocharis mamillata  subsp. austriaca"
"Armeria maritima  subsp. elongata"
"Jacobaea maritima"
"Lilium martagon"
"Hyacinthoides × massartiana"
"Cerastium maureri"
"Campanula medium"
"Alyssum montanum"
"Eragrostis multicaulis"
"Rosa multiflora"
"Odontarrhena alpestris"
"Aconitum napellus"
"Clinopodium nepeta"
"Lathyrus niger"
"Galanthus nivalis"
"Hepatica nobilis"
"Achillea nobilis"
"Geranium nodosum"
"Hydrocotyle novae-zeelandiae"
"Elodea nuttallii"
"Eleocharis obtusa"
"Pulmonaria officinalis"
"Hyssopus officinalis"
"Physocarpus opulifolius"
"Bunias orientalis"
"Clematis orientalis"
"Peucedanum ostruthium"
"Catalpa ovata"
"Geranium oxonianum"
"Corispermum pallasii"
"Euphorbia palustris"
"Allium paradoxum"
"Impatiens parviflora"
"Rumex patientia"
"Lobelia pedunculata"
"Pimpinella peregrina"
"Geranium phaeum"
"Pilosella piloselloides"
"Symphyotrichum pilosum"
"Staphylea pinnata"
"Epimedium pinnatum"
"Doronicum plantagineum  subsp. emarginatum"
"Narcissus poeticus"
"Campanula portenschlagiana"
"Campanula poscharskyana"
"Anchusa procera"
"Asarina procumbens"
"Typha provincialis"
"Papaver setiferum"
"Lysimachia punctata"
"Geranium pyrenaicum"
"Galinsoga quadriradiata"
"Inula racemosa"
"Sasa ramosa"
"Hieracium recensitum"
"Clematis recta"
"Cotoneaster rehderi"
"Goodyera repens"
"Campanula rhomboidalis"
"Potentilla rivalis"
"Cirsium rivulare"
"Spiraea × rosalba"
"Saxifraga rotundifolia"
"Smilax rotundifolia"
"Quercus rubra"
"Sarracenia rubra"
"Acer rufinerve"
"Rosa rugosa"
"Umbilicus rupestris"
"Phlomis russeliana"
"Miscanthus sacchariflorus"
"Acer saccharinum"
"Cotoneaster salicifolius"
"Symphyotrichum × salignum"
"Cornus sanguinea  subsp. australis"
"Cornus sanguinea  subsp. hungarica"
"Scilla sardensis"
"Sedum sarmentosum"
"Castanea sativa"
"Silene schafta"
"Allium scorodoprasum"
"Onoclea sensibilis"
"Cornus sericea"
"Scilla siberica"
"Claytonia sibirica"
"Bromus sitchensis"
"Sorbaria sorbifolia"
"Telekia speciosa"
"Verbascum speciosum"
"Hylotelephium spectabile"
"Rubus spectabilis"
"Phedimus spurius"
"Senecio squalidus"
"Cotoneaster sternianus"
"Cytisus striatus"
"Dipsacus strigosus"
"Dianthus subacaulis"
"Linaria supina"
"Forsythia suspensa"
"Tulipa sylvestris"
"Asclepias syriaca"
"Sempervivum tectorum"
"Vicia dalmatica"
"Sorbaria tomentosa"
"Cerastium tomentosum"
"Crocus tommasinianus"
"Festuca trachyphylla"
"Ptelea trifoliata"
"Pseudoturritis turrita"
"Rhus typhina"
"Iberis umbellata"
"Elaeagnus umbellata"
"Pastinaca umbrosa"
"Sauromatum venosum"
"Euphorbia vermiculata"
"Omphalodes verna"
"Scrophularia vernalis"
"Crocus vernus"
"Euphorbia verrucosa"
"Salvia verticillata"
"Setaria verticillata  var. ambigua"
"Photinia villosa"
"Cotoneaster villosulus"
"Clematis viticella"
"Sisymbrium volgense"
"Berberis wagneri"
"Persicaria wallichii"
"Volkameria aculeata"
"Crescentia alata"
"Plumeria alba"
"Petiveria alliacea"
"Mammea americana"
"Spigelia anthelmia"
"Ipomoea arborescens"
"Terminalia arjuna"
"Ammannia baccifera"
"Impatiens balsamina"
"Caladium bicolor"
"Capraria biflora"
"Allamanda blanchetii"
"Hevea brasiliensis"
"Averrhoa carambola"
"Indigofera charlieriana  var. charlieriana"
"Distimake cissoides"
"Erythrina corallodendron"
"Hymenaea courbaril"
"Hura crepitans"
"Trichosanthes cucumerina"
"Crescentia cujete"
"Imperata cylindrica"
"Ludwigia decurrens"
"Desmodium distortum"
"Mussaenda elegans"
"Ludwigia erecta"
"Polyscias fruticosa"
"Scleria gaertneri"
"Sesbania grandiflora"
"Polyscias guilfoylei"
"Acalypha hispida"
"Vicoa indica"
"Jatropha integerrima"
"Vigna juruana"
"Euphorbia lactea"
