"x"
"Dactyloctenium aegyptium"
"Amaranthus retroflexus"
"Alcea rosea"
"Armoracia rusticana"
"Cynara cardunculus"
"Bassia scoparia"
"Glebionis segetum"
"Cupressus sempervirens"
"Mentha spicata"
"Aralia spinosa"
"Xanthium spinosum"
"Symphyotrichum subulatum  var. squamatum"
"Halophila stipulacea"
"Oxalis stricta"
"Mentha suaveolens"
"Abutilon theophrasti"
"Rubia tinctorum"
"Helianthus tuberosus"
"Artemisia verlotiorum"
"Lepidium virginicum"
"Artemisia absinthium"
"Onopordum acanthium"
"Carduus acanthoides"
"Fumaria agraria"
"Morus alba"
"Sisymbrium altissimum"
"Alyssum alyssoides"
"Camelina alyssum"
"Allium ampeloprasum"
"Lamium amplexicaule"
"Artemisia annua"
"Helianthus annuus"
"Scleranthus annuus"
"Silene antirrhina"
"Sagina apetala"
"Medicago arabica"
"Schismus arabicus"
"Malva arborea"
"Ammophila arenaria"
"Gaillardia aristata"
"Festuca arundinacea"
"Trifolium arvense"
"Calendula arvensis"
"Convolvulus arvensis"
"Buglossoides arvensis"
"Sonchus asper"
"Scabiosa atropurpurea"
"Gynura aurantiaca"
"Bidens aurea"
"Lamarckia aurea"
"Cotula australis"
"Myosotis azorica"
"Tanacetum balsamita"
"Avena barbata"
"Schismus barbatus"
"Eragrostis barrelieri"
"Spergularia bocconei"
"Vulpia bromoides"
"Avena byzantina"
"Centaurea calcitrapa"
"Arctotheca calendula"
"Taraxacum campylodes"
"Panicum capillare"
"Crepis capillaris"
"Fumaria capreolata"
"Chenopodium carinatum"
"Geranium carolinianum"
"Daucus carota"
"Aira caryophyllea"
"Agrostis castellana"
"Nepeta cataria"
"Rhamnus cathartica"
"Amaranthus celosioides"
"Matricaria chamomilla"
"Euphorbia characias"
"Euryops chrysanthemoides"
"Erodium cicutarium"
"Eragrostis cilianensis"
"Citrullus colocynthis"
"Lapsana communis"
"Allium commutatum"
"Bromus commutatus"
"Rumex conglomeratus"
"Cotula coronopifolia"
"Anthemis cotula"
"Cynoglossum creticum"
"Rostraria cristata"
